,Season,Team ID,TKey,Field Goal Attempts,Field Goal Avg Yards,Field Goal Blocked,Field Goal Longest,Field Goal Made,Field Goal Yards
47,2013,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2013,26,30.346,0,52,23,789
48,2013,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242013,26,30.333,2,50,21,728
49,2013,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82013,29,30.966,0,58,26,898
50,2013,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2013,24,30.409,2,53,19,669
51,2013,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322013,37,30.297,0,57,33,1121
52,2013,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522013,30,30.4,0,54,26,912
53,2013,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692013,29,30.379,0,54,23,881
54,2013,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292013,27,31.296,0,53,24,845
55,2013,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142013,27,34.0,1,55,24,884
56,2013,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732013,32,27.452,1,55,24,851
57,2013,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92013,36,32.417,0,56,32,1167
58,2013,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2013,36,31.6,1,52,30,1106
59,2013,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82013,35,35.5,1,53,33,1207
60,2014,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242014,38,34.514,1,58,34,1277
61,2014,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062014,37,27.857,2,53,29,975
62,2014,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32014,39,30.162,2,55,32,1116
63,2014,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2014,37,33.595,0,53,35,1243
64,2014,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232014,33,29.469,1,49,26,943
65,2014,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2014,32,28.484,1,52,25,883
66,2014,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2014,34,30.485,1,55,29,1006
67,2014,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982014,32,31.063,0,53,29,994
68,2014,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92014,31,33.839,0,53,30,1049
69,2014,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2014,26,34.043,3,53,20,783
70,2014,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72014,35,34.303,2,55,30,1132
71,2014,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152014,22,30.455,0,51,19,670
72,2014,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02014,29,26.448,0,50,24,767
73,2014,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22014,30,27.567,0,53,25,827
74,2014,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12014,22,36.636,0,57,19,806
75,2014,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602014,29,35.536,1,56,25,995
76,2014,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802014,36,30.778,0,54,32,1108
77,2014,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2014,26,34.96,1,53,24,874
78,2014,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242014,27,29.704,0,49,24,802
79,2014,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82014,16,25.688,0,48,12,411
80,2014,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2014,38,24.611,2,52,25,886
81,2014,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322014,33,32.467,3,55,27,974
82,2014,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522014,35,29.545,2,55,26,975
83,2014,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692014,24,37.773,2,55,20,831
84,2014,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292014,32,34.677,1,54,29,1075
