,Season,Team ID,TKey,Field Goal Attempts,Field Goal Avg Yards,Field Goal Blocked,Field Goal Longest,Field Goal Made,Field Goal Yards
179,2017,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92017,41,38.425,1,52,39,1537
180,2017,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2017,40,31.132,2,57,32,1183
181,2017,2eff2a03-54d4-46ba-890e-2bc3925548f3,2eff2a03-54d4-46ba-890e-2bc3925548f32017,43,34.605,0,56,40,1488
182,2017,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82017,29,25.862,0,49,21,750
183,2018,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242018,28,31.259,1,54,22,844
184,2018,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062018,20,32.35,0,50,18,647
185,2018,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32018,36,37.056,0,56,33,1334
186,2018,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2018,32,28.469,0,52,27,911
187,2018,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232018,23,33.857,2,51,19,711
188,2018,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2018,25,29.125,1,51,19,699
189,2018,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2018,39,34.811,2,56,35,1288
190,2018,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982018,23,27.909,1,50,16,614
191,2018,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92018,27,30.556,0,54,23,825
192,2018,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2018,26,33.308,0,57,23,866
193,2018,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72018,42,32.429,0,54,37,1362
194,2018,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152018,30,31.4,0,54,26,942
195,2018,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02018,25,30.04,0,53,20,751
196,2018,1f6dcffb-9823-43cd-9ff4-e7a8466749b5,1f6dcffb-9823-43cd-9ff4-e7a8466749b52018,29,29.724,0,59,24,862
197,2018,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22018,27,30.815,0,54,24,832
198,2018,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12018,32,32.594,0,52,27,1043
199,2018,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602018,36,31.229,1,62,29,1093
200,2018,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802018,31,29.871,0,56,26,926
201,2018,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2018,33,34.606,0,57,32,1142
202,2018,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242018,29,35.793,0,56,26,1038
203,2018,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82018,30,27.233,0,50,23,817
204,2018,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2018,32,31.469,0,54,28,1007
205,2018,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322018,37,32.568,0,53,30,1205
206,2018,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522018,32,26.0,1,52,22,806
207,2018,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692018,27,26.037,0,59,20,703
208,2018,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292018,26,38.846,0,57,25,1010
209,2018,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142018,21,35.81,0,63,19,752
210,2018,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732018,30,35.897,1,54,28,1041
211,2018,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92018,34,34.029,0,53,33,1157
212,2018,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2018,17,25.882,0,55,12,440
213,2018,2eff2a03-54d4-46ba-890e-2bc3925548f3,2eff2a03-54d4-46ba-890e-2bc3925548f32018,41,28.073,0,56,34,1151
214,2018,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82018,27,32.148,0,56,22,868
