,Season,Team ID,TKey,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
59,2013,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82013,1991,13.139,0,0,15,80,80,267,48,409,27,3508,1517,0
60,2014,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242014,1779,10.623,0,0,29,84,80,363,66,572,23,3856,2077,0
61,2014,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062014,2190,10.32,0,0,29,50,32,394,88,593,27,4066,1876,0
62,2014,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32014,1700,11.171,0,0,32,74,74,287,67,482,16,3206,1506,0
63,2014,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2014,2310,10.946,0,0,32,69,69,392,74,601,34,4291,1981,0
64,2014,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232014,1739,10.994,0,0,25,81,81,323,50,493,20,3551,1812,0
65,2014,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2014,2134,13.423,0,0,22,81,81,274,41,499,12,3678,1544,0
66,2014,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2014,2235,11.587,0,0,37,80,80,344,67,541,27,3986,1751,0
67,2014,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982014,2716,12.158,0,0,29,94,94,411,91,601,33,4997,2281,0
68,2014,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92014,2671,12.346,0,0,40,80,79,410,87,647,42,5062,2391,0
69,2014,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2014,1585,10.618,0,0,36,63,63,325,43,553,15,3451,1866,0
70,2014,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72014,1917,11.729,0,0,27,76,76,295,67,480,22,3460,1543,0
71,2014,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152014,2067,12.502,0,0,23,80,80,299,56,505,20,3738,1671,0
72,2014,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02014,2867,11.977,0,0,31,86,86,399,106,603,40,4779,1912,0
73,2014,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22014,1534,10.713,0,0,37,70,70,320,63,485,18,3428,1894,0
74,2014,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12014,1912,9.468,0,0,32,77,77,365,43,619,22,3456,1544,0
75,2014,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602014,2221,12.22,0,0,12,68,68,328,55,471,37,4008,1787,0
76,2014,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802014,2476,11.93,0,0,25,72,68,384,76,612,27,4581,2105,0
77,2014,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2014,2489,11.671,0,0,31,80,80,383,98,599,30,4470,1981,0
78,2014,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242014,1918,12.255,0,0,29,81,81,364,62,544,18,4461,2543,0
79,2014,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82014,1874,10.189,0,0,30,74,45,396,78,608,30,4035,2161,0
80,2014,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2014,2048,11.737,0,0,36,73,73,365,75,590,22,4284,2236,0
81,2014,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322014,2355,12.742,0,0,33,80,80,349,96,531,38,4447,2092,0
82,2014,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522014,1730,11.075,0,0,30,87,87,322,40,510,17,3566,1836,0
83,2014,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692014,2469,12.037,0,0,28,56,56,301,48,523,21,3623,1154,0
84,2014,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292014,2659,11.383,0,0,34,79,74,418,60,623,28,4758,2099,0
85,2014,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142014,2401,11.706,0,0,27,51,47,327,52,540,23,3828,1427,0
86,2014,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732014,2779,10.86,0,0,31,69,69,456,80,649,33,4952,2173,0
87,2014,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92014,2014,11.668,0,0,34,80,80,292,43,484,20,3407,1393,0
88,2014,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2014,2386,12.469,0,0,34,81,81,320,58,561,21,3990,1604,0
89,2014,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82014,1611,12.167,0,0,19,80,80,287,56,432,20,3492,1881,0
90,2015,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242015,2310,12.203,27,296,27,63,58,295,39,462,23,3600,1290,276
91,2015,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062015,2359,11.592,7,375,34,54,54,365,68,581,24,4231,1872,585
92,2015,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32015,2281,11.519,14,381,40,69,69,362,76,602,33,4170,1889,635
93,2015,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2015,2373,11.911,18,417,53,76,76,404,83,624,36,4812,2439,687
