,Player Season,Player ID,Team ID,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
49,2012,bbca096b-fd15-498a-86c2-feb44737363f,7b112545-38e6-483c-a55c-96cf6ee49cb8,1,-2.0,0,0,-2,0,0,0,1,-2,0,-2,0
50,2012,ade43b1a-0601-4672-83b6-d246bc066a19,c5a59daa-53a7-4de0-851f-fb12be893e9e,35,3.6,0,4,11,4,1,0,0,0,4,126,19
51,2012,0ce48193-e2fa-466e-a986-33f751add206,a20471b4-a8d9-40c7-95ad-90cc30e46932,54,4.796,0,13,27,27,0,0,0,0,2,259,77
52,2012,3283f152-d373-43b3-b88f-f6f261c48e81,a20471b4-a8d9-40c7-95ad-90cc30e46932,10,13.2,0,0,28,0,0,0,0,0,0,132,89
53,2012,250199f2-1387-4b55-b96f-17fedea6db7f,33405046-04ee-4058-a950-d606f8c30852,1,-1.0,0,1,-1,0,0,0,0,0,0,-1,0
54,2012,6a11f09e-268c-4e5a-9b0f-cc0f4bc353c3,33405046-04ee-4058-a950-d606f8c30852,2,5.5,0,0,8,0,0,0,0,0,0,11,13
55,2012,ab58c0ac-a747-47e6-9b3c-505e41d2bd3d,33405046-04ee-4058-a950-d606f8c30852,348,6.026,0,0,82,82,15,0,51,-90,12,2097,1369
56,2012,5c2a0c83-e18a-43dd-bd65-704771157e42,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,319,4.558,0,0,70,70,11,0,35,-76,11,1454,1005
57,2012,f5d20030-d934-45e3-8282-e34c6c83ad84,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,41,3.683,0,0,35,12,0,0,2,-3,2,151,75
58,2012,0b3217b9-ba37-4222-95cb-a7a222441e8b,e6aa13a4-0055-48a9-bc41-be28dc106929,6,5.0,0,0,18,0,0,0,1,-7,0,30,34
59,2012,7e648a0b-fdc8-4661-a587-5826f2cac11b,e6aa13a4-0055-48a9-bc41-be28dc106929,34,4.147,0,11,16,5,1,0,0,0,1,141,12
60,2012,91a95850-9514-49d5-b2b0-f8e21156daa0,e6aa13a4-0055-48a9-bc41-be28dc106929,94,3.851,0,0,43,5,1,0,10,-17,1,362,251
61,2012,214e55e4-a089-412d-9598-a16495df0d25,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,127,5.835,0,10,72,72,2,0,9,-23,8,741,338
62,2012,5707d2b0-ea9e-4a5e-8289-9d52197301d9,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,3,11.667,0,0,25,0,0,0,0,0,0,35,18
63,2012,96a1fc85-5af7-49fa-a5ac-ddc06c205ced,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,93,3.613,0,0,21,1,0,0,15,-36,1,336,235
64,2012,0045a36c-f464-49e0-a25a-9210edc94bc1,0d855753-ea21-4953-89f9-0e20aff9eb73,3,5.667,0,2,19,0,0,0,0,0,0,17,3
65,2012,15b156b5-30cc-4070-b60a-1c09e62c5a9b,0d855753-ea21-4953-89f9-0e20aff9eb73,48,5.083,0,0,47,13,2,0,10,-22,1,244,90
66,2012,72f5a27a-544f-468a-b10b-89a1fc5d0e9f,0d855753-ea21-4953-89f9-0e20aff9eb73,40,5.425,0,0,56,56,0,0,6,-16,2,217,189
67,2012,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,0d855753-ea21-4953-89f9-0e20aff9eb73,1,5.0,0,0,5,0,0,0,0,0,0,5,0
68,2012,bb5957e6-ce7d-47ab-8036-22191ffc1c44,0d855753-ea21-4953-89f9-0e20aff9eb73,15,0.333,0,11,11,1,0,0,0,0,1,5,1
69,2012,f336567d-44a9-4245-8452-1dd485fd70fb,0d855753-ea21-4953-89f9-0e20aff9eb73,156,3.859,0,0,31,27,2,0,12,-27,5,602,431
70,2012,2fda010a-8c62-4c07-b601-4ba03f57e6af,f0e724b0-4cbf-495a-be47-013907608da9,31,4.258,0,9,24,0,0,0,0,0,0,132,23
71,2012,3aef6950-1c19-4454-a3d0-0afe9634ea9f,f0e724b0-4cbf-495a-be47-013907608da9,1,7.0,0,0,7,0,0,0,0,0,0,7,0
72,2012,6a2b129d-a9e5-4131-b491-82269b323f77,f0e724b0-4cbf-495a-be47-013907608da9,258,4.705,0,0,37,23,5,0,26,-53,8,1214,682
73,2012,fe767946-236d-4c04-9c59-5e3edd51acfe,f0e724b0-4cbf-495a-be47-013907608da9,1,8.0,0,0,8,0,0,0,0,0,0,8,10
74,2012,9691f874-be36-4529-a7eb-dde22ee4a848,de760528-1dc0-416a-a978-b510d20692ff,4,7.25,0,0,15,0,0,0,1,-2,0,29,20
75,2012,af4ba620-2f00-4b00-9111-7897f2b1cde8,de760528-1dc0-416a-a978-b510d20692ff,1,6.0,0,0,6,0,0,0,0,0,0,6,0
76,2012,409d4cac-ee90-4470-9710-ebe671678339,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,94,5.202,0,10,25,25,3,0,4,-10,4,489,173
77,2012,63fd9abe-4bdf-4611-9497-0c67e030ce01,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,80,4.425,0,0,26,0,2,0,9,-21,0,354,179
78,2012,82bce0be-9a87-4b6d-a85b-623bf8d1674e,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,315,5.048,0,0,77,77,3,0,24,-58,11,1590,872
79,2012,c88d9352-b835-45ed-a909-1cfec09a58bc,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3,6.667,0,0,13,0,0,0,1,-1,0,20,6
80,2013,618bedee-9259-4536-b0ff-fec98d2a20de,768c92aa-75ff-4a43-bcc0-f2798c2e1724,2,8.0,0,0,13,0,0,0,0,0,0,16,2
81,2013,bf52ff53-35a6-4696-ac6d-3fa952dc2c87,768c92aa-75ff-4a43-bcc0-f2798c2e1724,3,4.333,0,0,17,0,0,0,2,-4,0,13,1
82,2013,04ca4fb9-194e-47fe-8fc8-adb5790a8e78,4809ecb0-abd3-451d-9c4a-92a90b83ca06,7,2.143,0,0,13,1,3,0,1,-1,1,15,11
83,2013,5812204c-6dae-4450-8011-99e0f72864ac,4809ecb0-abd3-451d-9c4a-92a90b83ca06,40,5.95,0,9,48,1,5,0,0,0,1,238,70
84,2013,a212c5d8-67f8-48b9-99be-2c121ee56366,4809ecb0-abd3-451d-9c4a-92a90b83ca06,177,4.006,0,0,49,10,18,0,24,-46,2,709,364
85,2013,b37b5be9-4771-4368-988f-fb936f4fc0ad,4809ecb0-abd3-451d-9c4a-92a90b83ca06,3,11.0,0,0,13,0,0,0,0,0,0,33,22
86,2013,d08da2a3-8296-4038-bb46-ab1feca4bbd4,4809ecb0-abd3-451d-9c4a-92a90b83ca06,6,3.5,0,0,6,0,1,0,1,-1,0,21,10
87,2013,4a38cda2-e92f-47f8-b324-0c34e09d83f2,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,176,3.96,0,0,39,3,18,0,9,-18,1,697,383
88,2013,72f5a27a-544f-468a-b10b-89a1fc5d0e9f,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,182,4.577,0,0,69,15,18,0,19,-37,3,833,548
89,2013,769d7178-df4e-4127-8166-8116165921e8,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,4,2.75,0,0,8,0,0,0,1,-1,0,11,6
90,2013,97c96dce-9b33-4d0e-ba01-5eb629192d19,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,17,3.647,0,0,8,0,2,0,0,0,0,62,34
91,2013,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,72,5.083,0,10,32,17,11,0,4,-16,6,366,99
92,2013,170b4c5f-a345-4899-8d81-e8982b0f3d65,97354895-8c77-4fd4-a860-32e62ea7382a,178,4.343,0,0,29,17,31,0,14,-23,7,773,388
93,2013,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,97354895-8c77-4fd4-a860-32e62ea7382a,2,5.5,0,0,7,0,0,0,0,0,0,11,4
94,2013,41c44740-d0f6-44ab-8347-3b5d515e5ecf,97354895-8c77-4fd4-a860-32e62ea7382a,32,0.563,0,20,11,0,7,0,2,-2,0,18,7
95,2013,973bfe3c-6d0d-4130-a79c-f860650b1da6,97354895-8c77-4fd4-a860-32e62ea7382a,1,1.0,0,0,1,0,0,0,0,0,0,1,0
96,2013,9d04accc-a404-406f-b93c-0878410e55a6,97354895-8c77-4fd4-a860-32e62ea7382a,4,2.5,0,0,4,1,1,0,0,0,1,10,5
97,2013,dba5e3ec-2c77-4f65-ad6e-cee246f816ef,97354895-8c77-4fd4-a860-32e62ea7382a,55,4.927,0,0,46,2,16,0,4,-9,3,271,99
98,2013,f5d20030-d934-45e3-8282-e34c6c83ad84,97354895-8c77-4fd4-a860-32e62ea7382a,153,5.046,0,0,47,47,24,0,10,-23,7,772,417
99,2013,1726a359-9444-4761-a1f2-cb35ee6fa60e,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,4,4.0,0,0,9,0,0,0,0,0,0,16,9
100,2013,1a2fbc23-e6db-4d2f-a152-2c774341b7c4,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,8,8.125,0,0,34,0,0,0,2,-4,0,65,25
