,Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Red Zone Targets PG,Rec Receptions PG,Rec Touchdowns PG,Rec Yards PG,Fumbles PG,Lost Fumbles PG,Rush Attempts PG,Rush Avg Yards PG,Rush Red Zone Attempts PG,Rush Scrambles PG,Rush Touchdowns PG,Rush Yards PG,Passing Completion Pct,Passing Hurries PG,Passing Interceptions PG,Passing Redzone Attempts PG,Passing Touchdowns PG,Passing Yards PG,Field Goal Attempts PG,Field Goal Longest,Field Goal Made PG,Field Goal Yards PG,Extra Pts Attempts PG,Extra Pts Made PG,PID
192,01291a8d-d97c-4d88-b497-b5ad4b72f626 2018 82d2d380-3834-4938-835f-aec541e5ece7,Brandon Weeden,Texans,2018,QB,1,0,35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01291a8d-d97c-4d88-b497-b5ad4b72f626
193,3699dfd9-d437-43f7-b674-adbb31e7e64b 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Colt McCoy,Browns,2012,QB,3,0,26,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.25,0.0,0.0,0.0,5.0,52.941,0.0,0.0,0.0,0.3333333333333333,26.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3699dfd9-d437-43f7-b674-adbb31e7e64b
194,3699dfd9-d437-43f7-b674-adbb31e7e64b 2013 f0e724b0-4cbf-495a-be47-013907608da9,Colt McCoy,49ers,2013,QB,4,0,27,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-0.25,0.75,0.0,0.0,-1.5,100.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,3699dfd9-d437-43f7-b674-adbb31e7e64b
195,3699dfd9-d437-43f7-b674-adbb31e7e64b 2014 22052ff7-c065-42ee-bc8f-c4691c50e624,Colt McCoy,Redskins,2014,QB,5,4,28,0.0,0.0,0.0,0.0,1.2,0.2,3.2,0.825,0.6,0.0,0.2,13.2,71.094,0.0,0.6,2.0,0.8,211.4,0.0,0.0,0.0,0.0,0.0,0.0,3699dfd9-d437-43f7-b674-adbb31e7e64b
196,3699dfd9-d437-43f7-b674-adbb31e7e64b 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,Colt McCoy,Redskins,2015,QB,2,0,29,0.0,0.0,0.0,0.0,0.5,0.0,1.5,-0.5,1.0,0.0,0.0,-1.5,63.636,1.0,0.0,0.5,0.5,64.0,0.0,0.0,0.0,0.0,0.0,0.0,3699dfd9-d437-43f7-b674-adbb31e7e64b
198,3699dfd9-d437-43f7-b674-adbb31e7e64b 2017 22052ff7-c065-42ee-bc8f-c4691c50e624,Colt McCoy,Redskins,2017,QB,1,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3699dfd9-d437-43f7-b674-adbb31e7e64b
199,3699dfd9-d437-43f7-b674-adbb31e7e64b 2018 22052ff7-c065-42ee-bc8f-c4691c50e624,Colt McCoy,Redskins,2018,QB,3,2,32,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,3.333333333333333,2.1,0.3333333333333333,2.333333333333333,0.0,21.0,62.963,2.6666666666666665,1.0,1.6666666666666667,1.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,3699dfd9-d437-43f7-b674-adbb31e7e64b
206,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Josh Johnson,Browns,2012,QB,1,0,26,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1
207,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Josh Johnson,Bengals,2013,QB,2,0,27,0.0,0.0,0.0,0.0,0.5,0.0,3.5,1.4285,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1
213,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1 2018 22052ff7-c065-42ee-bc8f-c4691c50e624,Josh Johnson,Redskins,2018,QB,4,3,32,0.0,0.0,0.0,0.0,0.5,0.0,5.75,1.30425,0.25,3.25,0.25,30.0,57.143,4.5,1.0,1.5,0.75,147.5,0.0,0.0,0.0,0.0,0.0,0.0,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1
