,Player ID,Season,Penalties,Penalty Yards
60,bd10efdf-d8e7-4e23-ab1a-1e42fb65131b,2012,2,10
61,5c529c33-8a1d-413a-b635-880ac86f30c1,2012,4,40
62,bbca096b-fd15-498a-86c2-feb44737363f,2012,2,15
63,ade43b1a-0601-4672-83b6-d246bc066a19,2012,2,20
64,0ce48193-e2fa-466e-a986-33f751add206,2012,4,20
65,1059e9dc-97df-4643-9116-883a0573d8b1,2012,3,15
66,cccc9f16-9508-434f-b7a4-9a29cb0cacf9,2012,3,30
67,5b712aed-201c-43dd-b978-b7b6ef91178e,2012,2,10
68,5c2a0c83-e18a-43dd-bd65-704771157e42,2012,3,20
69,0b3217b9-ba37-4222-95cb-a7a222441e8b,2012,4,35
70,7e648a0b-fdc8-4661-a587-5826f2cac11b,2012,1,5
71,214e55e4-a089-412d-9598-a16495df0d25,2012,4,28
72,5707d2b0-ea9e-4a5e-8289-9d52197301d9,2012,2,10
73,587d0a98-7ec5-45a5-adba-8af26e8f256b,2012,3,15
74,bb5957e6-ce7d-47ab-8036-22191ffc1c44,2012,6,69
75,f336567d-44a9-4245-8452-1dd485fd70fb,2012,2,20
76,fd85786d-3900-4dc0-9b30-334ee30413ed,2012,6,50
77,16cc9ade-f9ad-4d32-b5b9-d7568ee80f58,2012,1,10
78,2fda010a-8c62-4c07-b601-4ba03f57e6af,2012,4,20
79,6a2b129d-a9e5-4131-b491-82269b323f77,2012,2,20
80,ccce5e8e-52ca-4f0f-a40f-fe5e7227d156,2012,4,28
81,fe767946-236d-4c04-9c59-5e3edd51acfe,2012,1,5
82,471dbe81-54c4-4b52-8bd1-4933c9800e1f,2012,2,15
83,9691f874-be36-4529-a7eb-dde22ee4a848,2012,3,16
84,af4ba620-2f00-4b00-9111-7897f2b1cde8,2012,1,5
85,b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5,2012,3,25
86,e033ce15-9fc5-430b-90e2-90dfe52b21c1,2012,1,15
87,409d4cac-ee90-4470-9710-ebe671678339,2012,7,42
88,82bce0be-9a87-4b6d-a85b-623bf8d1674e,2012,1,10
89,c88d9352-b835-45ed-a909-1cfec09a58bc,2012,3,17
90,e1b29179-074b-4c91-8797-763b76ac618a,2012,1,5
91,618bedee-9259-4536-b0ff-fec98d2a20de,2013,2,21
92,8fc65820-f565-44e2-8635-3e1cdf165bf6,2013,2,15
93,bf52ff53-35a6-4696-ac6d-3fa952dc2c87,2013,1,10
94,cf23126f-055b-4617-819b-bb4bcb84541a,2013,3,18
95,04ca4fb9-194e-47fe-8fc8-adb5790a8e78,2013,3,25
96,5812204c-6dae-4450-8011-99e0f72864ac,2013,2,10
97,969a4d68-1d76-4e64-bfff-e898a9ac6bd4,2013,1,8
98,a212c5d8-67f8-48b9-99be-2c121ee56366,2013,1,7
99,b37b5be9-4771-4368-988f-fb936f4fc0ad,2013,3,15
100,769d7178-df4e-4127-8166-8116165921e8,2013,1,5
101,97c96dce-9b33-4d0e-ba01-5eb629192d19,2013,1,5
102,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,2013,5,21
103,2142a164-48ad-47d6-bb27-0bc58c6b2e62,2013,1,5
104,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,2013,3,20
105,41c44740-d0f6-44ab-8347-3b5d515e5ecf,2013,2,16
106,973bfe3c-6d0d-4130-a79c-f860650b1da6,2013,1,10
107,1726a359-9444-4761-a1f2-cb35ee6fa60e,2013,1,11
108,1a2fbc23-e6db-4d2f-a152-2c774341b7c4,2013,3,25
109,b44773b9-af17-4d6c-a453-132e20849712,2013,10,85
110,b6325c85-c313-4cfb-a299-9884d5e9e389,2013,3,29
111,c9701373-23f6-4058-9189-8d9c085f3c49,2013,4,35
112,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,2013,3,20
113,01291a8d-d97c-4d88-b497-b5ad4b72f626,2013,5,25
114,af4ba620-2f00-4b00-9111-7897f2b1cde8,2013,1,12
115,b228c353-bb1f-4ba8-aa6d-d18ecf297259,2013,2,15
116,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,2013,1,5
117,46bb9a85-523c-4530-95c3-2c2a9737e65f,2013,2,15
118,64797df2-efd3-4b27-86ee-1d48f7edb09f,2013,1,5
119,67da5b5c-0db9-4fbc-b98d-7eb8e97b69f6,2013,1,5
120,a735765c-3ca8-4557-b06e-a30fd415982c,2013,6,45
121,c323cdb9-74bc-4d68-9358-609f80eedbb7,2013,2,20
