,Player Season,Player ID,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
184,2017,b103b096-6be9-4f87-9ae4-5d217f560685,8.214,10,24,0,14,0,115
185,2017,30641ad1-3511-48a4-a63a-95c88846b705,5.75,1,16,0,4,0,23
186,2017,3e2e74e9-18a8-4275-9437-b275db27e2ff,9.367,16,39,0,30,0,281
187,2017,2806e915-c46f-492f-8a29-71d3a85e5620,0.0,2,0,0,0,0,0
188,2017,4f724338-aa8c-436d-90b2-45299572c53e,12.469,8,53,0,32,0,399
189,2017,502b3a6c-e965-478a-858e-964b4ac2296c,4.417,1,12,0,12,0,53
190,2017,dffa69ad-331e-4f09-ae38-40a5a4406be6,6.583,21,27,0,36,0,237
191,2018,36007e6e-ca6b-42ee-b9f8-79a9a964f5bc,7.5,2,9,0,2,0,15
192,2018,6130be96-edf3-4361-b666-860c4ec46e7d,6.214,3,21,0,14,0,87
193,2018,769d7178-df4e-4127-8166-8116165921e8,5.0,0,6,0,2,0,10
194,2018,f7ff7599-a175-4a0c-b887-3ae9e596fc64,5.0,2,13,0,4,0,20
195,2018,4734f8dc-2ca4-4437-88f2-c8b8974abefc,3.0,1,6,0,2,0,6
196,2018,5de11f0b-8da9-42ba-9a93-db7f0a58543b,16.286,6,71,71,14,1,228
197,2018,973bfe3c-6d0d-4130-a79c-f860650b1da6,5.364,9,12,0,11,0,59
198,2018,780a48de-d092-4e87-9c34-8d1b45a154cc,0.0,0,0,0,1,0,0
199,2018,9691f874-be36-4529-a7eb-dde22ee4a848,14.087,27,78,78,23,1,324
200,2018,b89c853a-6bd8-42ec-ae52-a11831923631,0.0,1,0,0,0,0,0
201,2018,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,7.7,11,25,0,20,0,154
202,2018,ab9cf0fc-f4e4-4d18-8132-97e518eb14f3,0.0,3,0,0,1,0,0
203,2018,6bb4d6f8-c8fb-4ca7-a416-a7010526114d,10.6,20,38,0,20,0,212
204,2018,06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4,5.0,1,8,0,2,0,10
205,2018,71d9c2a0-81ee-4788-86bb-7ae326396e73,12.2,1,37,0,5,0,61
206,2018,393cdcc9-20ec-4d07-b8bf-6848398b6ab8,7.429,4,51,0,7,0,52
207,2018,4592fc87-9864-452d-8a19-5d4df714658f,8.333,6,14,0,9,0,75
208,2018,6259f62d-e16f-4369-a3be-ca02f79f3026,8.4,26,23,0,30,0,252
209,2018,fd4241f9-ab42-4dba-a701-455b896eca28,0.0,0,0,0,1,0,0
210,2018,958c9833-2e55-411a-8e0e-ecc229bbeb14,9.348,28,51,0,23,0,215
211,2018,b8426cea-f8b9-4061-8d56-e70d1230103e,2.0,0,2,0,1,0,2
212,2018,046c51bc-319e-4fbb-9cf3-f6ab808b8edf,14.0,13,74,74,19,1,266
213,2018,73d6cb8a-3d72-4a6a-b3c9-fe61dfd1bd41,8.0,1,8,0,2,0,16
214,2018,a0498a95-9dc3-4df5-8f51-a1564fb3de57,4.917,2,16,0,12,0,59
215,2018,c2a7bd8a-d141-423a-8810-0988a59ff0b4,0.0,0,-8,0,0,0,-8
216,2018,442eb96a-deb6-4e73-b65a-a2bb25ffa968,8.333,7,27,0,21,0,175
217,2018,9ae2584a-40c1-4b30-be34-a9567659eacd,9.125,8,30,0,16,0,146
218,2018,54c60acc-65ac-4e63-a988-697ee26e862a,1.333,1,5,0,3,0,4
219,2018,969a4d68-1d76-4e64-bfff-e898a9ac6bd4,9.5,0,18,0,4,0,38
220,2018,c87f0526-a85d-439d-a447-070c66ede612,11.75,1,38,0,4,0,47
221,2018,6124c4d4-337b-4926-b3f8-d2feb1c16fa9,3.333,11,20,0,12,0,40
222,2018,6130be96-edf3-4361-b666-860c4ec46e7d,6.5,0,11,0,2,0,13
223,2018,8322b598-ab65-4b2c-8a54-af37f67a062d,7.667,0,15,0,3,0,23
224,2018,ccd5239f-e8ba-484c-acf5-af0bd9f6dadc,10.333,5,13,0,3,0,31
225,2018,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,3.2,4,8,0,5,0,16
226,2018,5f424505-f29f-433c-b3f2-1a143a04a010,0.0,1,0,0,1,0,0
227,2018,d5d86ddc-97e5-4acf-867f-a2a741071c22,4.8,2,11,0,5,0,24
228,2018,01d8aee3-e1c4-4988-970a-8c0c2d08bd83,10.65,3,91,91,20,1,213
229,2018,35823109-daf1-4825-92b8-564271398ecb,48.0,0,48,0,1,0,48
