,Player ID,Season,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards
46,64797df2-efd3-4b27-86ee-1d48f7edb09f,2013,6.371,214,58.958,362,0,33,3912,0,22,0,74,66,3588,0.0,73.1,75,324,48,0,16,19,3912
47,7f3ef024-eb34-46af-8b9e-544cdf09378f,2013,0.4,1,20.0,1,0,1,2,0,1,0,2,0,2,0.0,0.0,0,0,0,0,0,0,2
48,16e33176-b73e-49b7-b0aa-c405b47a706e,2013,15.0,0,100.0,1,0,0,15,0,0,0,15,0,8,0.0,118.8,0,7,1,0,0,0,15
49,ea357add-1a41-4a8b-8f34-bbfade7f4d98,2013,7.296,174,64.212,375,0,36,4261,0,14,0,67,55,3979,0.0,92.0,90,282,42,0,14,28,4261
50,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512,2013,6.705,186,60.175,343,0,34,3822,0,9,0,73,73,3595,0.0,87.0,70,227,32,0,15,23,3822
51,de816e24-8442-49a4-99cd-dde7e7c05863,2013,5.593,27,48.837,42,0,7,481,0,7,0,67,67,414,0.0,36.0,7,67,12,0,7,1,481
52,f55053e4-4bfd-495d-981a-d62e3662f01b,2013,6.443,162,60.636,305,0,30,3241,0,14,0,62,62,2998,0.0,76.5,68,243,38,0,17,13,3241
53,1b3d350a-478b-4542-a430-d12cc96adc22,2013,6.957,94,54.15,137,0,17,1760,0,6,0,66,62,1559,0.0,78.2,14,201,19,0,13,9,1760
54,1f09583f-dcc1-43e8-a7fc-f063d2c96508,2013,6.453,123,61.173,219,0,12,2310,0,14,0,46,31,2148,0.0,73.0,46,162,21,0,18,10,2310
55,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,2013,7.011,124,62.0,217,0,26,2454,0,12,0,77,77,2345,0.0,82.0,41,109,21,0,12,14,2454
56,0847010c-9a77-4f0b-9d63-c8b4b224d263,2013,5.938,11,68.75,11,0,1,95,0,0,0,19,0,87,0.0,84.1,0,8,2,0,1,0,95
57,0045a36c-f464-49e0-a25a-9210edc94bc1,2013,6.526,13,65.789,25,0,2,248,0,1,0,48,2,0,0.0,81.9,2,11,2,0,1,1,248
58,2fda010a-8c62-4c07-b601-4ba03f57e6af,2013,6.522,202,60.63,308,0,36,3313,0,7,0,71,71,0,0.0,89.1,74,210,39,0,18,23,3313
59,af48c3f0-040b-40f9-95ab-6ebcb4c16cf8,2013,6.61,94,57.353,156,0,14,1798,0,11,0,73,73,1595,0.0,69.1,23,203,31,0,19,7,1798
60,c8232b55-6617-4dd9-a7cf-cf14cd9a29ab,2013,9.12,102,64.038,203,0,13,2891,0,2,0,63,63,2718,0.0,119.2,37,173,28,0,20,27,2891
61,da7cb0cc-543e-47d5-b29a-2ba2b341bd14,2013,6.122,13,61.224,30,0,3,300,0,4,0,26,0,276,0.0,44.6,3,24,3,0,0,0,300
62,6cb6226e-f08c-4192-95f1-69709ed686c6,2013,6.929,190,57.532,317,0,30,3818,0,27,0,70,70,3537,0.0,69.4,54,281,39,0,25,18,3818
63,8dfb370d-460c-4bfc-9d62-888687248783,2013,7.024,163,60.088,274,0,36,3203,0,12,0,62,62,2929,0.0,82.2,55,274,38,0,15,16,3203
64,bbd0942c-6f77-4f83-a6d0-66ec6548019e,2013,5.51,53,52.258,81,0,10,854,0,7,0,62,53,822,0.0,58.4,10,32,5,0,6,4,854
65,a261fd0a-b096-4db7-bd51-2f13bde485da,2013,8.165,67,66.518,149,0,12,1829,0,1,0,80,80,1792,0.0,109.0,31,37,11,0,9,13,1829
66,ade43b1a-0601-4672-83b6-d246bc066a19,2013,7.334,168,58.517,371,0,58,4650,0,19,0,87,79,4482,0.0,84.2,78,168,23,0,17,29,4650
67,0ce48193-e2fa-466e-a986-33f751add206,2013,8.745,78,66.552,193,0,14,2536,0,6,0,83,83,2419,0.0,104.9,46,117,21,0,22,17,2536
68,8263e101-aa33-435f-bf0f-388e1c4eeb59,2013,7.114,94,60.236,153,0,13,1807,0,9,0,79,79,1722,0.0,81.6,32,85,16,0,7,11,1807
69,e1235f1e-26ce-438c-8168-3b1ded4ab893,2013,6.269,152,59.375,247,0,21,2608,0,9,0,85,85,2294,0.0,83.9,47,314,40,0,19,19,2608
70,7e648a0b-fdc8-4661-a587-5826f2cac11b,2013,6.935,200,67.435,439,0,40,4515,0,17,0,81,81,4217,0.0,89.6,93,298,44,0,19,26,4515
71,214e55e4-a089-412d-9598-a16495df0d25,2013,7.144,197,61.734,292,0,23,3379,0,13,0,79,79,3043,0.0,88.8,54,336,43,0,20,24,3379
72,bb5957e6-ce7d-47ab-8036-22191ffc1c44,2013,7.942,172,68.615,446,0,25,5162,0,12,0,76,76,4918,0.0,104.7,85,244,37,0,26,39,5162
73,3699dfd9-d437-43f7-b674-adbb31e7e64b,2013,13.0,0,100.0,1,0,0,13,0,0,0,13,0,13,0.0,118.8,0,0,0,0,0,0,13
74,b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5,2013,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,0,0,0,0,1,0,0
75,409d4cac-ee90-4470-9710-ebe671678339,2013,8.248,184,63.145,257,0,13,3357,0,9,0,80,80,3085,0.0,101.2,53,272,44,0,21,26,3357
76,5812204c-6dae-4450-8011-99e0f72864ac,2014,6.856,185,66.441,392,0,29,4045,0,12,0,50,32,3708,0.0,92.8,89,337,46,0,15,27,4045
77,b37b5be9-4771-4368-988f-fb936f4fc0ad,2014,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,0,0,0,0,0,0,0
78,769d7178-df4e-4127-8166-8116165921e8,2014,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,1,0,0,0,0,0,0
