,Player Season,Player ID,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made
98,2016,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,47,0,44
99,2016,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,14,1,11
100,2016,218d1644-603e-4da3-9ce1-48ce3927494f,57,0,56
101,2016,63f8a401-f308-4463-9d0b-4335b98da682,34,2,31
102,2016,c4cf84d0-6022-4ac1-a9ba-85587921c53f,50,1,49
103,2016,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,34,0,33
104,2016,0d1171d4-c955-4966-9257-640b569866d1,47,1,43
105,2016,93d11276-45d2-4168-a9b7-df0cbf12dabb,23,0,23
106,2016,40cda44b-2ee3-4ad1-834e-995e30db84d4,35,5,29
107,2017,40cda44b-2ee3-4ad1-834e-995e30db84d4,29,0,29
108,2017,4b99ead5-0f79-4899-84a7-075c08890698,29,0,26
109,2017,0d1171d4-c955-4966-9257-640b569866d1,29,0,29
110,2017,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,47,0,45
111,2017,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,33,0,31
112,2017,cd0f4ef0-9914-4125-be4d-804a72350ceb,26,0,25
113,2017,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,39,0,39
114,2017,441eb531-1ec8-4f65-9174-78bc6adada63,39,1,37
115,2017,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,24,0,22
116,2017,69bdf41e-3c32-46c1-93b8-e952edf5c61d,24,1,22
117,2017,7af4c94b-529b-4403-ab66-2bfed3fcf0c7,17,0,15
118,2017,203b60aa-cb94-499c-a4ca-d3c6b94dddc4,35,0,32
119,2017,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,33,1,31
120,2017,6444feb1-f5a4-4b45-9a45-79308a4445fd,27,0,27
121,2017,4ceb866c-8eaf-49b5-9043-56228e43a2e5,28,0,28
122,2017,d96ff17c-841a-4768-8e08-3a4cfcb7f717,12,0,12
123,2017,be449b4d-799c-4045-8e9e-e8a7fd7c2cc8,34,0,33
124,2017,beb64618-614c-49f7-a3aa-c0c75b7839ea,28,0,26
125,2017,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,8,0,8
126,2017,059e5bb7-1842-4558-9aaf-77c352a21216,42,0,39
127,2017,596c4000-ede5-45b0-8336-33efeb686d2b,2,0,1
128,2017,8fb2ca06-3d13-4552-98e0-7b913b4ab5b9,23,2,20
129,2017,058c99fc-470c-4579-a165-03e043335cc1,19,0,18
130,2017,d96ff17c-841a-4768-8e08-3a4cfcb7f717,2,0,2
131,2017,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,9,1,7
132,2017,67f5e782-f91c-4536-9818-cf4a0e7e821d,41,0,40
133,2017,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,35,0,33
134,2017,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,39,2,34
135,2017,218d1644-603e-4da3-9ce1-48ce3927494f,35,0,35
136,2017,63f8a401-f308-4463-9d0b-4335b98da682,37,1,34
137,2017,c4cf84d0-6022-4ac1-a9ba-85587921c53f,50,2,47
138,2017,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,30,1,28
139,2017,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,26,2,23
140,2017,93d11276-45d2-4168-a9b7-df0cbf12dabb,46,0,44
141,2017,f61e6429-3f9b-478c-8697-e00fe813ce9c,5,0,4
142,2018,40cda44b-2ee3-4ad1-834e-995e30db84d4,26,0,25
143,2018,5ffb654f-0de5-424b-aa2f-ad511deb5b51,36,0,35
144,2018,7af4c94b-529b-4403-ab66-2bfed3fcf0c7,33,0,30
145,2018,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,50,0,49
146,2018,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,41,0,39
147,2018,a2aab80d-174c-4639-beac-e2b70bb3625f,29,0,25
148,2018,cd0f4ef0-9914-4125-be4d-804a72350ceb,5,0,3
149,2018,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,37,0,36
150,2018,441eb531-1ec8-4f65-9174-78bc6adada63,48,0,43
151,2018,bd49c4a4-1314-45e1-bff5-fc67ba41d1dd,1,0,1
152,2018,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,47,0,44
153,2018,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,3,0,3
154,2018,69bdf41e-3c32-46c1-93b8-e952edf5c61d,20,1,19
155,2018,203b60aa-cb94-499c-a4ca-d3c6b94dddc4,41,0,39
156,2018,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,31,1,28
157,2018,6444feb1-f5a4-4b45-9a45-79308a4445fd,35,0,35
158,2018,375b0d7f-8d03-4111-8c1b-62907f0326a1,28,0,27
159,2018,596c4000-ede5-45b0-8336-33efeb686d2b,15,0,9
160,2018,4ceb866c-8eaf-49b5-9043-56228e43a2e5,69,1,65
161,2018,7bb70550-c28a-4e47-9a13-cc0c0fef8b38,18,0,18
162,2018,bd49c4a4-1314-45e1-bff5-fc67ba41d1dd,5,0,5
163,2018,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,5,1,4
164,2018,99c9de87-7fe1-4d5e-928e-586f48af2d79,33,0,32
165,2018,059e5bb7-1842-4558-9aaf-77c352a21216,35,0,33
166,2018,8fb2ca06-3d13-4552-98e0-7b913b4ab5b9,32,0,31
167,2018,058c99fc-470c-4579-a165-03e043335cc1,26,0,25
168,2018,4b99ead5-0f79-4899-84a7-075c08890698,45,0,42
169,2018,67f5e782-f91c-4536-9818-cf4a0e7e821d,30,0,30
170,2018,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,36,0,34
171,2018,7bb70550-c28a-4e47-9a13-cc0c0fef8b38,6,0,6
172,2018,beb64618-614c-49f7-a3aa-c0c75b7839ea,31,0,30
