,Player ID,Season,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
1436,e9d4ab78-3572-47ab-b4d3-e04c5af231f3,2017,433,12.06,2,3,3,51,27,50,2,84,3,603,170,41
1437,ea357add-1a41-4a8b-8f34-bbfade7f4d98,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1438,f611f87a-1e49-4196-9088-8c760f26006d,2017,3,3.0,0,0,0,5,1,2,1,3,1,6,3,2
1439,f636d7ce-05f9-43d7-b63f-351acb5c2a70,2017,9,5.75,0,0,0,7,5,4,2,10,1,23,14,0
1440,1532328d-614e-4cd6-a43f-ff56073e2ff2,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1441,3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88,2017,86,8.867,3,6,4,21,0,15,2,44,0,133,47,17
1442,413f7971-4d5b-496d-a11b-f623e9bc3b7c,2017,-58,10.714,2,5,5,34,24,21,1,33,1,225,283,95
1443,5e5ea79d-7127-4e65-9cd5-b2a0a1fe910e,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1444,63fd9abe-4bdf-4611-9497-0c67e030ce01,2017,-13,6.222,0,1,1,16,0,9,0,11,0,56,69,34
1445,6a2b129d-a9e5-4131-b491-82269b323f77,2017,-30,8.448,2,4,3,26,14,29,1,38,1,245,275,89
1446,7574eb56-a34a-419e-9682-c4788cfe2019,2017,10,8.667,0,2,1,13,0,3,1,13,0,26,16,7
1447,75dfd9cc-5419-49e1-bade-0632d03ca4b4,2017,15,16.5,0,0,0,20,0,2,0,5,0,33,18,5
1448,958c9833-2e55-411a-8e0e-ecc229bbeb14,2017,180,12.348,0,3,3,61,61,23,0,37,1,284,104,43
1449,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1450,a2368d42-9e6b-4268-883a-f23ef7ef5638,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1451,ad2258ab-67f0-41c2-bcf3-f3ba145187dc,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1452,b8426cea-f8b9-4061-8d56-e70d1230103e,2017,662,16.947,1,5,4,80,80,57,3,109,4,966,304,35
1453,bd413539-9351-454e-9d61-4e8635d7e9f5,2017,353,8.625,5,4,4,26,13,80,3,108,4,690,337,124
1454,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1455,f404283a-7c04-4a1c-899c-3243424a8d70,2017,312,15.038,1,5,4,60,60,26,3,47,2,391,79,41
1456,046c51bc-319e-4fbb-9cf3-f6ab808b8edf,2017,240,12.556,4,3,3,29,18,27,2,51,1,339,99,43
1457,0fd32417-8410-4a8f-8919-386c433bca43,2017,15,17.0,0,0,0,17,0,1,0,1,0,17,2,0
1458,10952a8e-9da1-447b-a016-c699db00c5f0,2017,309,12.41,1,1,1,50,7,39,4,56,2,484,175,61
1459,4c3c6b63-aa1f-4452-9d1d-662073f06142,2017,413,12.536,3,10,10,45,6,56,4,96,3,702,289,96
1460,666e3121-3daa-4413-b1ec-8e728f7cc645,2017,24,7.6,0,0,0,21,0,5,0,7,0,38,14,7
1461,6723249c-5fb5-4b0a-9373-cb59cdc99ec8,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1462,69bdf41e-3c32-46c1-93b8-e952edf5c61d,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1463,72f5a27a-544f-468a-b10b-89a1fc5d0e9f,2017,-10,8.333,4,2,2,29,22,21,1,28,1,175,185,70
1464,7af4c94b-529b-4403-ab66-2bfed3fcf0c7,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1465,7f46a7be-286e-4bfe-8778-d03dbe600ce9,2017,-1,8.389,2,2,1,28,10,36,1,48,1,302,303,62
1466,97c96dce-9b33-4d0e-ba01-5eb629192d19,2017,15,7.167,0,3,3,14,1,6,1,11,1,43,28,12
1467,9c21e9af-681c-41ef-9b00-fbc9e1668ed1,2017,155,13.25,2,3,3,37,30,24,5,48,5,318,163,60
1468,a02175de-7356-40c9-a14f-f90de29830d7,2017,-1,4.0,0,0,0,4,0,1,0,1,0,4,5,5
1469,a0498a95-9dc3-4df5-8f51-a1564fb3de57,2017,38,12.833,0,1,1,41,14,6,2,11,2,77,39,11
1470,a8c96abf-a911-47a0-ac16-dd51a8782b5e,2017,449,17.81,2,3,2,75,75,42,3,83,3,748,299,121
1471,af944a80-eba7-479d-b3b1-73279abdc67a,2017,6,13.667,0,1,1,28,0,3,0,4,0,41,35,3
1472,d28afbc1-16c0-4012-b24a-1bd99817e8a9,2017,36,7.467,1,3,3,20,0,30,0,41,0,224,188,51
1473,e5c6b0d4-3e77-422b-a6d8-574a10ed385e,2017,58,10.643,1,1,1,29,11,14,2,24,1,149,91,18
1474,f55053e4-4bfd-495d-981a-d62e3662f01b,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1475,02779042-2b4e-4fa9-b598-364fe01b523a,2017,17,13.833,0,1,1,34,0,6,0,8,0,83,66,10
1476,095e0c1a-0bea-4bc6-868f-e4bbe2ce6c30,2017,324,15.107,0,4,3,59,59,28,4,50,7,423,99,11
1477,203b60aa-cb94-499c-a4ca-d3c6b94dddc4,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1478,2c259733-ec2c-4e3c-bb7b-34dc0d37dc34,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1479,442eb96a-deb6-4e73-b65a-a2bb25ffa968,2017,28,4.75,1,0,0,7,0,8,1,11,0,38,10,3
1480,5c48ade7-4b9a-4757-9643-87a6e3839e2b,2017,1019,14.354,0,5,4,72,72,96,15,174,13,1378,359,61
1481,5cb0bf9c-03b4-4201-97c5-a59c6db50841,2017,210,13.68,0,6,5,42,4,25,5,52,1,342,132,23
1482,617435c6-4a3f-4689-ab15-44bd93b33615,2017,194,11.379,1,4,4,35,29,29,2,57,2,330,136,22
1483,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1484,a212c5d8-67f8-48b9-99be-2c121ee56366,2017,32,9.083,1,0,0,32,8,36,3,45,3,327,295,70
1485,ba2e7ff8-ed39-4fd1-85e3-d263a946a212,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1486,c57b1184-e381-40cc-b603-f703e10d3fad,2017,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
