,Season,Team ID,TKey,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
56,2013,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732013,61,4.492,42.279,46.869,0,274.0,25,61,2579,180,5,2859
57,2013,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92013,79,4.47,41.696,48.152,0,353.0999999999999,27,62,3294,330,9,3804
58,2013,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2013,78,4.277,40.064,45.718,0,333.6,35,60,3125,321,6,3566
59,2013,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82013,76,4.5,40.23,42.689,2,332.99999999999994,28,69,2977,82,5,3159
60,2014,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242014,86,4.419,38.674,42.93,0,380.02,31,67,3326,246,6,3692
61,2014,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062014,59,4.101,39.293,46.345,1,237.84000000000003,21,60,2279,349,3,2688
62,2014,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32014,79,4.445,40.385,45.897,1,346.7199999999999,23,69,3150,250,9,3580
63,2014,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2014,67,4.27,40.5,46.364,1,281.81,25,67,2673,267,6,3060
64,2014,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232014,73,4.306,42.096,46.836,0,314.31,27,69,3073,226,6,3419
65,2014,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2014,93,4.29,39.183,44.29,0,398.96000000000004,25,59,3644,295,9,4119
66,2014,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2014,60,4.22,43.25,47.35,0,253.22000000000003,26,73,2595,166,4,2841
67,2014,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982014,62,4.332,38.803,43.738,1,264.26,20,74,2367,221,4,2668
68,2014,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92014,69,4.545,42.841,46.681,0,313.59999999999997,30,61,2956,205,3,3221
69,2014,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2014,96,4.479,40.426,47.489,2,421.02000000000004,25,69,3800,464,10,4464
70,2014,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72014,84,4.312,39.145,46.349,1,357.88,27,71,3249,398,10,3847
71,2014,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152014,89,4.382,41.227,46.795,1,385.61999999999995,28,79,3628,350,7,4118
72,2014,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02014,69,4.449,37.638,44.174,0,307.01000000000005,25,65,2597,371,4,3048
73,2014,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22014,71,4.407,40.479,44.563,0,312.87,31,69,2874,190,5,3164
