,Season,Team ID,TKey,3D Attempt,3D Successes,3D Pct,4D Attempt,4D Successes,4D Pct,Goal to Go Attempts,Goal to Go Successes,Goal to Go Pct,RedZone Attempts,RedZone Successes,RedZone Pct
107,2015,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2015,217,82,37.788,16,9,56.25,18,12,66.667,54,24,44.444
108,2015,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242015,216,94,43.519,12,7,58.333,30,23,76.667,49,30,61.224
109,2015,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82015,219,93,42.466,10,6,60.0,29,20,68.966,50,24,48.0
110,2015,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2015,203,75,36.946,14,7,50.0,29,24,82.759,49,34,69.388
111,2015,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322015,208,70,33.654,21,11,52.381,30,18,60.0,52,28,53.846
112,2015,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522015,199,76,38.191,11,5,45.455,22,14,63.636,44,22,50.0
113,2015,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692015,202,84,41.584,13,7,53.846,25,16,64.0,51,27,52.941
114,2015,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292015,227,107,47.137,19,10,52.632,29,20,68.966,53,29,54.717
115,2015,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142015,203,86,42.365,10,6,60.0,35,27,77.143,63,43,68.254
116,2015,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732015,218,104,47.706,16,10,62.5,28,23,82.143,58,35,60.345
117,2015,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92015,213,65,30.516,19,9,47.368,18,10,55.556,39,17,43.59
118,2015,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2015,198,93,46.97,9,4,44.444,30,21,70.0,63,38,60.317
119,2015,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82015,213,99,46.479,9,8,88.889,23,15,65.217,49,27,55.102
120,2016,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242016,210,86,40.952,15,8,53.333,35,24,68.571,54,35,64.815
