Key,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
1726a359-9444-4761-a1f2-cb35ee6fa60e 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,11.939,2,28,1,52,0,33,7,49,0,394,203,55
19858900-5c8e-49a7-ab02-34ef625724ca 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,4.0,1,1,0,4,0,1,0,1,0,4,2,2
1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,12.554,4,60,3,47,45,65,12,103,4,816,289,106
24cf6148-f0af-4103-a215-e06956764953 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.633,3,47,6,45,0,49,3,66,0,472,462,98
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,29.5,0,2,0,55,55,2,0,3,1,59,10,21
36f54823-9d51-4180-9c91-d10281deb4bf 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,11.727,1,9,1,22,20,11,0,15,1,129,64,14
59fc3367-5514-4616-a93c-06e4365b2293 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,5.267,2,17,3,14,13,15,4,19,1,79,87,26
bd8052bd-0898-430b-99c9-2529e895ae79 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.4,0,10,1,27,5,10,1,15,1,94,25,11
c9701373-23f6-4058-9189-8d9c085f3c49 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,15.081,2,85,3,80,80,86,18,132,10,1297,334,120
fa26e15f-2375-4acc-aaae-cf32cfe4bc3e 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,12.375,1,6,0,22,0,8,2,12,0,99,55,18
31c376b7-2e10-473a-aa54-d9f709a5b93e 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,8.754,9,52,3,52,34,61,9,74,2,534,488,168
40cd928f-f228-4ffd-8179-b27a12e14a44 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,9.579,2,18,2,53,22,19,1,22,1,182,227,92
4b3677f5-712e-43f2-b7bb-51ac6f291b86 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,8.607000000000001,1,29,4,56,0,28,5,48,0,241,108,13
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,14.206,0,65,6,61,60,68,14,125,5,966,317,47
63fd9abe-4bdf-4611-9497-0c67e030ce01 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,4.0,0,2,0,7,0,2,0,3,0,8,7,0
865d8df9-06ec-40c3-8c71-637f9fd0bcbf 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,8.357000000000001,1,15,4,16,0,14,2,21,0,117,37,7
af48c3f0-040b-40f9-95ab-6ebcb4c16cf8 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,42.0,0,3,1,42,0,1,3,8,0,42,5,5
14c97c9f-26e8-4944-9299-f90de6aeada3 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,9.0,0,3,0,17,0,2,1,6,0,18,13,5
1b016b52-62ba-4da9-9ead-6bad689f8d33 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,10.667,0,8,1,31,0,6,3,11,0,64,23,5
3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,12.587,1,78,6,48,48,75,8,127,5,944,211,93
52f4a43a-64a9-4d69-a9e2-28bd60f68e49 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,8.375,0,35,2,28,21,32,4,48,1,268,147,39
67da5b5c-0db9-4fbc-b98d-7eb8e97b69f6 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,7.829,4,37,2,39,8,41,9,56,4,321,270,85
9173225c-4e88-4c87-ad78-41aa0d00a1be 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,7.843999999999999,6,41,3,41,41,45,10,62,2,353,287,73
9480dd9f-151f-4e6d-b5a3-35f07bda4cac 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,8.5,2,17,0,25,0,18,0,23,0,153,100,24
16e33176-b73e-49b7-b0aa-c405b47a706e 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,13.485,6,132,8,59,56,136,23,193,10,1834,592,186
52d09eea-a580-447a-8062-5841d5a9c8b3 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,11.0,0,1,0,11,0,1,0,2,0,11,4,0
a37a5bfd-b48c-4d8b-817a-d8ce7ca3592d 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,7.0,0,7,0,20,4,8,1,11,1,56,20,9
c456e060-d4d8-46cb-acf4-296edfb4f7bd 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,14.952,3,22,3,66,35,21,2,39,2,314,73,29
e9d4ab78-3572-47ab-b4d3-e04c5af231f3 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,15.3,3,55,11,88,88,50,13,92,6,765,330,72
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0.0,0,0,0,-3,0,0,0,0,0,-3,-3,0
f611f87a-1e49-4196-9088-8c760f26006d 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,8.0,0,1,0,10,0,2,0,3,0,16,12,0
f9036897-99d5-4d9a-8965-0c7e0f9e43bd 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,17.023,3,52,4,72,72,44,15,79,5,749,158,61
6a2b129d-a9e5-4131-b491-82269b323f77 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,7.853,5,32,6,34,9,34,4,58,1,267,273,105
b8426cea-f8b9-4061-8d56-e70d1230103e 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,16.29,3,74,5,87,87,69,15,134,5,1124,381,51
bd413539-9351-454e-9d61-4e8635d7e9f5 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,6.0,0,12,1,19,3,12,4,14,1,72,56,9
c682e8ea-fe48-45d2-af60-682a6125ab22 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,12.5,0,18,2,35,35,18,1,39,1,225,60,5
cc745cc3-d52a-454b-98c8-ac9155a9405c 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,6.813,0,16,0,21,6,16,4,29,1,109,50,8
f404283a-7c04-4a1c-899c-3243424a8d70 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,11.453,1,65,4,33,26,64,12,105,6,733,267,65
0fd32417-8410-4a8f-8919-386c433bca43 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,17.5,6,89,10,90,90,80,21,151,14,1400,356,119
10952a8e-9da1-447b-a016-c699db00c5f0 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,16.109,1,64,2,80,80,64,13,105,10,1031,364,165
4c3c6b63-aa1f-4452-9d1d-662073f06142 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,12.732999999999999,0,16,3,30,2,15,5,32,1,191,91,23
73d6cb8a-3d72-4a6a-b3c9-fe61dfd1bd41 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,4.895,1,18,3,18,2,19,6,35,2,93,54,8
9c21e9af-681c-41ef-9b00-fbc9e1668ed1 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,14.125,0,16,2,45,0,16,6,37,0,226,161,71
af944a80-eba7-479d-b3b1-73279abdc67a 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,6.5,0,2,1,8,0,2,1,3,0,13,15,3
d28afbc1-16c0-4012-b24a-1bd99817e8a9 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,7.75,5,32,2,67,4,36,4,46,1,279,298,101
5c48ade7-4b9a-4757-9643-87a6e3839e2b 2015 82d2d380-3834-4938-835f-aec541e5ece7,13.703,2,120,9,61,61,111,22,192,11,1521,221,63
cb1df42c-b59c-4e23-a9a2-fbfc2b39ef71 2015 82d2d380-3834-4938-835f-aec541e5ece7,12.55,2,23,5,37,10,20,3,34,2,251,98,28
cbf1cdba-d165-45f7-a695-5e0971dd9042 2015 82d2d380-3834-4938-835f-aec541e5ece7,7.267,0,15,0,21,21,15,1,16,1,109,68,16
0f062def-77f5-4362-86cb-4bdb63a59eba 2015 d26a1ca5-722d-4274-8f97-c92e49c96315,8.8,0,5,0,19,1,5,1,6,1,44,42,7
441e8866-33f1-4820-9fa3-3aa2c7535975 2015 d26a1ca5-722d-4274-8f97-c92e49c96315,11.333,0,38,3,52,52,36,5,60,3,408,143,29
7c16c04c-04de-41f3-ac16-ad6a9435e3f7 2015 d26a1ca5-722d-4274-8f97-c92e49c96315,41.0,0,1,0,41,41,1,0,1,1,41,15,0
ccce5e8e-52ca-4f0f-a40f-fe5e7227d156 2015 d26a1ca5-722d-4274-8f97-c92e49c96315,11.574000000000002,7,99,6,61,61,94,15,133,6,1088,389,188
f636d7ce-05f9-43d7-b63f-351acb5c2a70 2015 d26a1ca5-722d-4274-8f97-c92e49c96315,12.0,0,25,2,29,8,22,1,31,1,264,33,6
0a95e792-6455-4927-9539-f95fa7f41fbb 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,10.05,1,21,2,23,0,20,3,28,0,201,70,13
132721b4-fd32-4795-b214-ab4baaaceb3a 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,12.687999999999999,2,14,0,41,0,16,3,25,0,203,97,47
6e444737-a1e1-4ddd-b963-cd6a9496fde0 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,12.419,5,106,13,72,72,105,19,177,6,1304,476,212
6ef43c53-53d7-4b0f-ad99-17664d663ae8 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,14.417,1,11,0,32,1,12,3,15,1,173,121,63
f7841baa-9284-4c03-b698-442570651c6c 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,7.32,5,26,1,27,0,25,3,36,0,183,149,55
fbb1cc32-4cbd-4089-b8ec-1e7bce8da408 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,9.833,0,7,2,15,10,6,3,11,1,59,32,13
fd4e8681-f2f4-47c7-b954-a72be9b1ca00 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,14.934000000000001,1,79,8,75,75,76,8,137,6,1135,382,52
2958ea86-e2dc-4719-93e5-cc9d093ca963 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,12.886,4,35,3,44,44,35,6,57,2,451,219,93
35823109-daf1-4825-92b8-564271398ecb 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,8.235,0,12,1,36,19,17,7,24,1,140,149,20
65f91b8b-6794-4273-bf42-4d00b5973ddd 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,10.7,1,20,3,80,80,20,9,34,1,214,237,35
8506c15c-15cc-4d2c-aebf-270c605fe0ec 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,10.571,0,9,2,25,15,7,3,11,1,74,22,0
aca06a5e-0e3a-4285-a025-199f8fa0376f 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,8.429,2,18,1,26,7,21,4,30,1,177,205,34
bbb63a36-8613-4675-8e5e-34200d245ff0 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,0.833,0,5,0,5,0,6,0,6,0,5,12,1
bd01d907-cd57-48cb-9136-5692a4764a20 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,11.706,0,21,2,44,6,17,4,31,1,199,69,39
c3859e06-5f23-4302-a71b-04820a899d5f 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,12.152999999999999,4,72,6,42,42,72,10,103,5,875,524,233
c5606f69-f550-4b4a-b61a-f1f71142a32f 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,6.0,0,1,0,6,0,1,1,2,0,6,7,2
e033ce15-9fc5-430b-90e2-90dfe52b21c1 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,8.5,0,3,0,18,0,4,1,5,0,34,39,4
e5c6b0d4-3e77-422b-a6d8-574a10ed385e 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,14.5,0,6,0,30,0,6,0,9,0,87,57,36
00f88be8-45f9-4237-b2b8-3271ec790d07 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,14.860999999999999,3,75,18,68,68,72,7,130,6,1070,362,120
27e60657-f73d-4125-906d-aa72cc3477dc 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,15.0,1,37,6,43,13,32,9,55,5,480,130,41
2e56cca7-b898-4aac-bbc5-b5bda9163be1 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,11.75,2,35,5,33,23,28,7,50,3,329,125,36
540f8b30-900e-4d17-8756-c262ba5fa039 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,5.659,1,36,3,23,0,41,0,53,0,232,242,79
5a20a439-bebc-4ef7-8b9f-30e1d677a26b 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,9.333,1,9,0,15,0,9,1,11,0,84,67,28
996974b8-2e0a-47d9-90a7-c3455192d06b 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,14.357000000000001,0,18,5,49,49,14,4,33,4,201,43,17
adadafa1-dc37-486d-8538-7db1e1b5f71e 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,15.142999999999999,1,8,2,59,59,7,1,9,1,106,114,75
cf23126f-055b-4617-819b-bb4bcb84541a 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,5.832999999999999,0,12,0,17,5,12,1,13,1,70,57,14
d2cad5f8-b35f-4cf4-9567-57c387ba6225 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,8.0,0,1,0,8,0,1,1,1,0,8,1,0
fe767946-236d-4c04-9c59-5e3edd51acfe 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,10.847000000000001,6,89,8,38,38,85,13,146,9,922,264,120
26b9c11d-c557-4bef-b990-65498858df47 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,21.5,1,15,2,67,0,12,4,26,0,258,96,18
37339e36-741c-4c1c-a9ab-bd89ed866fa0 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,6.0,0,1,0,6,0,1,0,2,0,6,5,2
3c2db5b7-77bf-4c52-bb77-b0fe3cf89e5e 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,16.154,0,57,6,42,42,52,10,93,3,840,275,51
433587a5-dabc-4b1b-9545-66e570f806a7 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,8.0,0,8,0,22,2,8,6,13,1,64,27,3
63fd9abe-4bdf-4611-9497-0c67e030ce01 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,3.0,2,5,0,15,0,5,0,7,0,15,19,3
7092bb09-a161-4ab9-8d19-fdcf1a91bb3d 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,10.308,3,50,5,30,17,52,17,75,5,536,324,57
cf8e8522-6220-4612-a8a1-72c496dac536 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,2.0,0,2,1,2,0,1,0,3,0,2,1,0
d0f9112d-2496-450a-9fc5-d2d01b4d2454 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,0.0,0,1,0,0,0,1,0,1,0,0,0,0
15b156b5-30cc-4070-b60a-1c09e62c5a9b 2015 386bdbf9-9eea-4869-bb9a-274b0bc66e80,7.055,3,49,5,35,35,55,5,83,1,388,359,57
5ec072b3-2837-4cf1-bb4f-ecd873949626 2015 386bdbf9-9eea-4869-bb9a-274b0bc66e80,2.444,2,12,3,12,0,9,0,12,0,22,43,8
7b96a836-666b-47b6-a0a7-9dbb0b4c53e8 2015 386bdbf9-9eea-4869-bb9a-274b0bc66e80,11.729000000000001,6,85,8,78,78,85,14,128,8,997,414,104
bc0f07a4-3e7b-4e61-987a-05533dc225be 2015 386bdbf9-9eea-4869-bb9a-274b0bc66e80,18.0,0,3,0,43,0,3,0,4,0,54,31,11
cfb0ff68-51cb-4dad-ba81-f9e019a93a91 2015 386bdbf9-9eea-4869-bb9a-274b0bc66e80,12.304,0,27,3,53,53,23,6,44,1,283,95,9
de3421f7-2147-4835-89a5-724e87bad463 2015 386bdbf9-9eea-4869-bb9a-274b0bc66e80,11.373,1,80,7,60,22,75,9,112,2,853,283,76
25e58aee-1b33-4468-9a81-6586426b91d5 2015 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,7.332999999999999,0,3,0,10,0,3,0,3,0,22,9,4
2a1658c4-c9fd-4a98-b619-74ec35e30bf5 2015 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,7.375,1,10,1,16,0,8,1,16,0,59,26,12
354dec38-b88b-4ba0-8974-859123f27c45 2015 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,15.104000000000001,4,101,5,87,87,96,18,158,13,1450,590,211
53dc492f-b4cc-4da2-a6cc-f61f7c23272f 2015 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,10.5,0,2,0,16,0,2,0,3,0,21,8,0
5ed2cea8-e0c6-482c-9ee1-548c06612226 2015 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,11.0,0,39,5,38,21,36,8,57,4,396,137,26
6cb6226e-f08c-4192-95f1-69709ed686c6 2015 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,0.0,0,1,0,0,0,0,0,0,0,0,0,0
0366fd06-19a3-4b69-8448-6bfbfad1250b 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,6.857,0,33,3,23,12,35,8,48,2,240,164,32
3e618eb6-41f2-4f20-ad70-2460f9366f43 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,17.6,0,26,0,77,77,30,4,49,4,528,158,43
8002dd5e-a75a-4d72-9a8c-0f4dbc80d459 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,10.237,0,58,6,44,11,59,11,78,2,604,338,37
9691f874-be36-4529-a7eb-dde22ee4a848 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,12.273,0,13,2,38,0,11,4,21,0,135,38,19
a824d9ff-12a4-4ed2-812d-404b0b4e52f9 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,10.792,3,74,5,39,39,72,15,111,6,777,164,40
bd10efdf-d8e7-4e23-ab1a-1e42fb65131b 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,5.5,0,9,0,12,0,10,2,13,0,55,38,11
c3bf8d3e-3b2e-4f9e-ad74-c0a684035f17 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,10.943,7,83,4,32,22,87,21,114,11,952,468,140
cc9df25a-bb22-4737-83df-ff01d3fd7695 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,11.652000000000001,0,27,3,35,5,23,6,42,2,268,98,30
d3fab07b-f02a-433d-9612-cb0a751f324d 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,8.294,1,17,2,20,7,17,4,22,1,141,77,28
1b8db398-7a7e-44df-922e-d979507e6bdb 2015 7b112545-38e6-483c-a55c-96cf6ee49cb8,11.789000000000001,0,21,4,48,48,19,4,34,2,224,68,18
5c529c33-8a1d-413a-b635-880ac86f30c1 2015 7b112545-38e6-483c-a55c-96cf6ee49cb8,14.944,1,54,3,50,21,54,15,94,4,807,177,74
6512b90e-d6b3-4719-bb0c-a75f97673f37 2015 7b112545-38e6-483c-a55c-96cf6ee49cb8,12.682,2,25,6,83,83,22,7,42,1,279,228,30
91a95850-9514-49d5-b2b0-f8e21156daa0 2015 7b112545-38e6-483c-a55c-96cf6ee49cb8,10.0,0,1,0,10,0,1,0,3,0,10,14,2
98a944cf-0fc3-4a0b-9011-490722667d37 2015 7b112545-38e6-483c-a55c-96cf6ee49cb8,7.0,0,2,1,7,0,1,0,3,0,7,4,0
9de98c5e-ee62-4a2b-be93-07287d831e06 2015 7b112545-38e6-483c-a55c-96cf6ee49cb8,10.909,0,7,0,22,0,11,2,16,0,120,51,19
c323cdb9-74bc-4d68-9358-609f80eedbb7 2015 7b112545-38e6-483c-a55c-96cf6ee49cb8,40.5,0,2,0,45,0,2,0,3,0,81,3,0
2a4de276-55bd-4756-9fa5-89fe30f5304f 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,5.5,0,2,0,7,0,2,0,3,0,11,12,2
40958157-617f-40b4-91e5-9895f66da29c 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,13.2,0,9,1,29,29,10,0,18,1,132,41,13
62d4e94c-443f-44ed-9404-c6d6bdd9aa64 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,8.713,13,69,3,34,21,80,13,99,3,697,653,247
80715ecf-ffc9-4a93-a305-2193451b3382 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,6.5,1,6,0,12,4,6,1,6,1,39,29,17
9fbcfae9-dd14-415c-8952-9b1b5dff0dfc 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,11.425999999999998,2,54,8,55,18,47,8,70,5,537,291,81
ade43b1a-0601-4672-83b6-d246bc066a19 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,-6.0,0,1,0,-6,0,1,0,1,0,-6,1,0
c5e430c5-7a8e-4e29-b30f-1a527f05cb89 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,7.32,1,21,1,36,16,25,5,38,1,183,203,47
c88d9352-b835-45ed-a909-1cfec09a58bc 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,9.033,10,73,6,43,9,90,17,128,6,813,533,215
0c39e276-7a5b-448f-a696-532506f1035a 2015 a20471b4-a8d9-40c7-95ad-90cc30e46932,9.067,3,14,1,31,31,15,4,19,2,136,91,22
3283f152-d373-43b3-b88f-f6f261c48e81 2015 a20471b4-a8d9-40c7-95ad-90cc30e46932,10.494000000000002,2,83,12,53,53,79,21,129,6,829,436,125
e00b3426-238b-4bdb-85c3-bbf08b7469e3 2015 a20471b4-a8d9-40c7-95ad-90cc30e46932,8.793,5,55,2,61,61,58,14,85,8,510,218,77
e7d6ae25-bf15-4660-8b37-c37716551de3 2015 a20471b4-a8d9-40c7-95ad-90cc30e46932,9.66,3,56,10,40,8,50,11,94,1,483,136,56
1059e9dc-97df-4643-9116-883a0573d8b1 2015 33405046-04ee-4058-a950-d606f8c30852,10.102,3,43,2,47,47,49,10,73,5,495,193,65
2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4 2015 33405046-04ee-4058-a950-d606f8c30852,12.0,1,13,2,30,0,12,0,18,0,144,47,5
6a11f09e-268c-4e5a-9b0f-cc0f4bc353c3 2015 33405046-04ee-4058-a950-d606f8c30852,13.0,2,30,3,52,0,34,2,50,0,442,175,51
8c5067dc-1617-42fa-82eb-0596392ab20a 2015 33405046-04ee-4058-a950-d606f8c30852,15.833,0,7,2,49,4,6,2,9,1,95,82,6
a1c40664-b265-4083-aad2-54b4c734f2c5 2015 33405046-04ee-4058-a950-d606f8c30852,13.845999999999998,4,51,2,40,40,52,6,84,4,720,292,95
ab58c0ac-a747-47e6-9b3c-505e41d2bd3d 2015 33405046-04ee-4058-a950-d606f8c30852,7.4,1,24,2,49,0,30,2,36,0,222,259,26
b37b5be9-4771-4368-988f-fb936f4fc0ad 2015 33405046-04ee-4058-a950-d606f8c30852,12.128,0,37,6,34,7,39,7,72,2,473,169,20
cccc9f16-9508-434f-b7a4-9a29cb0cacf9 2015 33405046-04ee-4058-a950-d606f8c30852,11.273,1,10,1,41,11,11,3,19,1,124,126,21
da85107c-365c-4d58-90ab-479d97d798b4 2015 33405046-04ee-4058-a950-d606f8c30852,5.0,0,1,0,9,0,2,0,2,0,10,4,0
f22b34cf-6ecf-4522-9c77-1da275dfda7d 2015 33405046-04ee-4058-a950-d606f8c30852,8.9,1,9,1,32,0,10,2,16,0,89,46,9
5afe93fd-0caf-4cca-83fc-7f405bebfa3e 2015 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,12.522,0,22,0,46,20,23,5,30,3,288,47,14
5b712aed-201c-43dd-b978-b7b6ef91178e 2015 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,6.778,0,8,1,14,3,9,2,13,1,61,39,11
5c2a0c83-e18a-43dd-bd65-704771157e42 2015 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,8.212,2,25,2,25,10,33,5,44,1,271,231,93
6195ddc9-ab2b-469a-b824-a890736d6db7 2015 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,9.333,0,4,2,18,4,3,2,9,1,28,1,1
c48c21d9-0ae5-478c-ad34-30a660cfa9b8 2015 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,16.297,1,94,17,68,40,74,14,148,3,1206,232,95
d6d41a89-a8af-48b9-bf75-561de99a1d87 2015 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,9.63,1,28,2,27,6,27,4,40,1,260,123,44
e78261de-af00-4530-824c-500addbe9f98 2015 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,16.095,0,25,4,43,43,21,9,39,4,338,96,44
052a93cf-8536-4a12-9831-84b27e8608da 2015 e6aa13a4-0055-48a9-bc41-be28dc106929,9.238,0,25,3,23,0,21,6,36,0,194,65,27
0b3217b9-ba37-4222-95cb-a7a222441e8b 2015 e6aa13a4-0055-48a9-bc41-be28dc106929,13.757,7,138,12,70,70,136,21,203,8,1871,641,290
2e50c78f-fa3b-48cf-8531-6eeddc93d88d 2015 e6aa13a4-0055-48a9-bc41-be28dc106929,7.917999999999999,5,72,8,44,17,73,14,97,3,578,437,96
349f647e-bfc3-4d84-af89-b33f8a08e26e 2015 e6aa13a4-0055-48a9-bc41-be28dc106929,8.462,0,13,1,19,15,13,2,17,2,110,49,8
5827b78b-5150-4ba9-bc46-902428e99a31 2015 e6aa13a4-0055-48a9-bc41-be28dc106929,7.0,0,5,3,10,0,2,2,11,0,14,11,2
67d56171-7522-430c-b7d9-8f7e2b6624d3 2015 e6aa13a4-0055-48a9-bc41-be28dc106929,6.2860000000000005,1,8,1,11,0,7,0,12,0,44,20,9
c87f0526-a85d-439d-a447-070c66ede612 2015 e6aa13a4-0055-48a9-bc41-be28dc106929,9.353,0,16,2,29,5,17,3,25,2,159,96,39
3aef6950-1c19-4454-a3d0-0afe9634ea9f 2015 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,16.795,0,56,11,74,74,44,9,96,10,739,241,38
46bb9a85-523c-4530-95c3-2c2a9737e65f 2015 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,7.117999999999999,0,19,2,17,4,17,6,26,2,121,53,18
587d0a98-7ec5-45a5-adba-8af26e8f256b 2015 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,14.338,0,77,7,52,37,77,18,124,7,1104,344,58
7f5f2a81-ac40-420c-9421-5b9e2a21faf8 2015 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,15.258,2,38,8,52,16,31,11,63,5,473,112,34
96a1fc85-5af7-49fa-a5ac-ddc06c205ced 2015 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,6.188,3,12,2,15,12,16,2,21,1,99,117,39
b77aa319-b97f-4316-84c5-e51390432644 2015 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,10.0,1,1,0,10,0,1,0,1,0,10,8,7
f413d6fb-5105-4110-b915-d92840a3e656 2015 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,11.6,1,4,0,20,0,5,0,5,0,58,61,29
