Key,Field Goal Attempts,Field Goal Avg Yards,Field Goal Blocked,Field Goal Longest,Field Goal Made,Field Goal Yards
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2014 82d2d380-3834-4938-835f-aec541e5ece7,35,34.303000000000004,2,55,30,1132
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2014 d26a1ca5-722d-4274-8f97-c92e49c96315,22,30.455,0,51,19,670
6444feb1-f5a4-4b45-9a45-79308a4445fd 2014 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,13,21.0,0,44,9,273
d96ff17c-841a-4768-8e08-3a4cfcb7f717 2014 6680d28d-d4d2-49f6-aace-5292d3ec02c2,30,27.566999999999997,0,53,25,827
480277d1-47c9-44df-969e-038a84cd0fea 2014 1c1cec48-6352-4556-b789-35304c1a6ae1,22,36.635999999999996,0,57,19,806
beb64618-614c-49f7-a3aa-c0c75b7839ea 2014 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,29,35.536,1,56,25,995
4b99ead5-0f79-4899-84a7-075c08890698 2014 386bdbf9-9eea-4869-bb9a-274b0bc66e80,36,30.778000000000002,0,54,32,1108
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2014 22052ff7-c065-42ee-bc8f-c4691c50e624,27,29.704,0,49,24,802
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2014 7b112545-38e6-483c-a55c-96cf6ee49cb8,12,25.25,0,45,9,303
67f5e782-f91c-4536-9818-cf4a0e7e821d 2014 c5a59daa-53a7-4de0-851f-fb12be893e9e,26,31.25,2,52,21,750
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2014 a20471b4-a8d9-40c7-95ad-90cc30e46932,33,32.467,3,55,27,974
218d1644-603e-4da3-9ce1-48ce3927494f 2014 e6aa13a4-0055-48a9-bc41-be28dc106929,32,34.677,1,54,29,1075
63f8a401-f308-4463-9d0b-4335b98da682 2014 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,35,30.794,1,53,29,1047
e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d 2014 f0e724b0-4cbf-495a-be47-013907608da9,31,31.6,1,55,25,948
0d1171d4-c955-4966-9257-640b569866d1 2014 de760528-1dc0-416a-a978-b510d20692ff,33,33.0,0,51,29,1089
40cda44b-2ee3-4ad1-834e-995e30db84d4 2014 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,37,31.057,2,58,31,1087
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2015 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,17,29.353,0,49,14,499
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2015 97354895-8c77-4fd4-a860-32e62ea7382a,36,35.25,0,57,33,1269
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,28,31.704,1,52,23,856
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,40,30.325,0,52,33,1213
441eb531-1ec8-4f65-9174-78bc6adada63 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,32,31.969,0,51,29,1023
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,27,35.593,0,55,25,961
7af4c94b-529b-4403-ab66-2bfed3fcf0c7 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,30,31.31,1,58,26,908
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2015 82d2d380-3834-4938-835f-aec541e5ece7,6,30.333000000000002,0,47,5,182
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2015 d26a1ca5-722d-4274-8f97-c92e49c96315,16,34.75,0,51,14,556
6444feb1-f5a4-4b45-9a45-79308a4445fd 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,35,30.656999999999996,0,57,30,1073
d96ff17c-841a-4768-8e08-3a4cfcb7f717 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,37,31.305999999999997,1,53,30,1127
