Key,Fumble End Zone Touch Downs,Forced Fumbles,Fumbles,Lost Fumbles,Fumbles Opponent Recovery,Fumbles Opponent Recovery Touchdowns,Fumbles Opponent Recovery Yards,Fumbles Out of Bounds,Fumbles Own Recovery,Fumbles Own Recovery Touchdowns,Fumbles Own Recovery Yards
96a1fc85-5af7-49fa-a5ac-ddc06c205ced 2012 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0,0,2,0,0,0,0,0,1,0,0
b4ce3e07-7848-4da2-a33e-4f04ce540ba5 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,1,1,0,0,0,0,0,0,0
bb5957e6-ce7d-47ab-8036-22191ffc1c44 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,5,1,0,0,0,0,2,0,0
f336567d-44a9-4245-8452-1dd485fd70fb 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,0,0,0,0,0,0,1,0,1
fd85786d-3900-4dc0-9b30-334ee30413ed 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,1,0,0,0,0,0,2,0,0
2fda010a-8c62-4c07-b601-4ba03f57e6af 2012 f0e724b0-4cbf-495a-be47-013907608da9,0,0,4,1,0,0,0,0,2,0,-2
3aef6950-1c19-4454-a3d0-0afe9634ea9f 2012 f0e724b0-4cbf-495a-be47-013907608da9,0,0,4,1,0,0,0,1,1,0,0
6a2b129d-a9e5-4131-b491-82269b323f77 2012 f0e724b0-4cbf-495a-be47-013907608da9,0,0,2,1,0,0,0,0,4,1,15
ccce5e8e-52ca-4f0f-a40f-fe5e7227d156 2012 f0e724b0-4cbf-495a-be47-013907608da9,0,0,1,1,0,0,0,0,0,0,0
471dbe81-54c4-4b52-8bd1-4933c9800e1f 2012 de760528-1dc0-416a-a978-b510d20692ff,0,0,1,1,0,0,0,0,0,0,0
9691f874-be36-4529-a7eb-dde22ee4a848 2012 de760528-1dc0-416a-a978-b510d20692ff,0,0,1,0,0,0,0,1,0,0,0
af4ba620-2f00-4b00-9111-7897f2b1cde8 2012 de760528-1dc0-416a-a978-b510d20692ff,0,0,1,0,0,0,0,0,1,0,0
e033ce15-9fc5-430b-90e2-90dfe52b21c1 2012 de760528-1dc0-416a-a978-b510d20692ff,0,1,0,0,0,0,0,0,1,0,11
409d4cac-ee90-4470-9710-ebe671678339 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,6,3,0,0,0,1,3,0,-9
63fd9abe-4bdf-4611-9497-0c67e030ce01 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,0,0,0,0,0,0,1,0,0
82bce0be-9a87-4b6d-a85b-623bf8d1674e 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,5,2,0,0,0,0,0,0,0
c88d9352-b835-45ed-a909-1cfec09a58bc 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,1,1,0,0,0,0,1,0,4
bf52ff53-35a6-4696-ac6d-3fa952dc2c87 2013 768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,0,1,1,0,0,0,0,0,0,0
5812204c-6dae-4450-8011-99e0f72864ac 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,9,5,0,0,0,0,3,0,-7
a212c5d8-67f8-48b9-99be-2c121ee56366 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,1,1,0,0,0,0,0,0,0
4a38cda2-e92f-47f8-b324-0c34e09d83f2 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,1,0,0,0,0,0,1,0,0
72f5a27a-544f-468a-b10b-89a1fc5d0e9f 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,2,0,0,0,0,0,1,0,0
cfc93f5e-105e-4a5e-88d3-f4279893cfa8 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,8,4,0,0,0,0,3,0,-2
170b4c5f-a345-4899-8d81-e8982b0f3d65 2013 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,4,4,0,0,0,0,0,0,0
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2013 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,6,0,0,0,0,0,5,0,0
41c44740-d0f6-44ab-8347-3b5d515e5ecf 2013 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,9,3,0,0,0,0,5,0,-10
f5d20030-d934-45e3-8282-e34c6c83ad84 2013 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,3,2,0,0,0,0,0,0,0
1726a359-9444-4761-a1f2-cb35ee6fa60e 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,1,1,0,0,0,0,0,0,0
24cf6148-f0af-4103-a215-e06956764953 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,1,1,0,0,0,0,1,0,0
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,2,0,0,0,0,0,1,0,0
73e133bf-d3f7-4fda-bd25-2fde66cb8ee1 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,1,0,0,0,0,0,1,0,0
b44773b9-af17-4d6c-a453-132e20849712 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,3,3,0,0,0,0,0,0,0
c9701373-23f6-4058-9189-8d9c085f3c49 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,1,0,0,0,0,1,0,0,0
d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,4,3,0,0,0,0,0,0,-14
01291a8d-d97c-4d88-b497-b5ad4b72f626 2013 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,6,2,0,0,0,0,0,0,0
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2013 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,2,1,0,0,0,0,1,0,0
64797df2-efd3-4b27-86ee-1d48f7edb09f 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,8,2,0,0,0,0,2,0,0
67da5b5c-0db9-4fbc-b98d-7eb8e97b69f6 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,0,0,0,0,0,0,1,0,0
a735765c-3ca8-4557-b06e-a30fd415982c 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,1,0,0,0,0,0,1,0,0
16e33176-b73e-49b7-b0aa-c405b47a706e 2013 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,1,0,0,0,0,0,1,0,0
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2013 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,9,6,0,0,0,0,3,0,0
fd4e8681-f2f4-47c7-b954-a72be9b1ca00 2013 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,1,0,0,0,0,0,1,0,0
b8426cea-f8b9-4061-8d56-e70d1230103e 2013 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,0,1,0,0,0,0,0,1,0,0
e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2013 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,0,6,2,0,0,0,1,1,0,0
9c21e9af-681c-41ef-9b00-fbc9e1668ed1 2013 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,1,1,0,0,0,0,0,0,0
de816e24-8442-49a4-99cd-dde7e7c05863 2013 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,2,0,0,0,0,0,0,0,0
f55053e4-4bfd-495d-981a-d62e3662f01b 2013 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,2,0,0,0,0,0,2,0,-1
1b3d350a-478b-4542-a430-d12cc96adc22 2013 82d2d380-3834-4938-835f-aec541e5ece7,0,0,6,2,0,0,0,0,0,0,0
1f09583f-dcc1-43e8-a7fc-f063d2c96508 2013 82d2d380-3834-4938-835f-aec541e5ece7,0,0,2,1,0,0,0,0,0,0,-1
5c48ade7-4b9a-4757-9643-87a6e3839e2b 2013 82d2d380-3834-4938-835f-aec541e5ece7,0,1,1,1,0,0,0,0,0,0,0
cb1df42c-b59c-4e23-a9a2-fbfc2b39ef71 2013 82d2d380-3834-4938-835f-aec541e5ece7,0,0,0,0,0,0,0,0,1,0,0
0742d2ea-1cf2-49a6-a150-77ba6e034d8c 2013 d26a1ca5-722d-4274-8f97-c92e49c96315,0,0,9,2,0,0,0,1,4,0,-3
441e8866-33f1-4820-9fa3-3aa2c7535975 2013 d26a1ca5-722d-4274-8f97-c92e49c96315,0,0,2,0,0,0,0,0,1,0,0
ccce5e8e-52ca-4f0f-a40f-fe5e7227d156 2013 d26a1ca5-722d-4274-8f97-c92e49c96315,0,0,1,0,0,0,0,0,1,0,0
6e444737-a1e1-4ddd-b963-cd6a9496fde0 2013 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,0,0,1,0,0,0,0,0,0,0,0
