Key,Converse Defense Attempts,Converse Defense Success,Converse Pass Attempts,Converse Pass Success,Converse Rec Attempts,Converse Rec Success,Converse Rush Attempts,Converse Rush Success,Converse Turnover Success
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2014 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,0,0,1,0,0,0,0
41c44740-d0f6-44ab-8347-3b5d515e5ecf 2014 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,1,0,0,0,0,0,0
1726a359-9444-4761-a1f2-cb35ee6fa60e 2014 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,0,0,1,1,0,0,0
d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1 2014 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,1,1,0,0,0,0,0
af4ba620-2f00-4b00-9111-7897f2b1cde8 2014 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,1,0,0,0,0,0,0
64797df2-efd3-4b27-86ee-1d48f7edb09f 2014 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,1,0,0,0,0,0,0
16e33176-b73e-49b7-b0aa-c405b47a706e 2014 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,0,0,1,1,0,0,0
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2014 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,3,3,0,0,0,0,0
b8426cea-f8b9-4061-8d56-e70d1230103e 2014 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,0,0,0,0,0,1,0,0
e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2014 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,0,2,0,0,0,0,0,0
0fd32417-8410-4a8f-8919-386c433bca43 2014 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,0,0,1,1,0,0,0
4c3c6b63-aa1f-4452-9d1d-662073f06142 2014 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,0,0,1,0,0,0,0
6723249c-5fb5-4b0a-9373-cb59cdc99ec8 2014 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,4,1,0,0,0,0,0
9c21e9af-681c-41ef-9b00-fbc9e1668ed1 2014 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,0,0,0,1,0,0,0,0
6e444737-a1e1-4ddd-b963-cd6a9496fde0 2014 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,0,0,0,0,1,1,0,0,0
fd4e8681-f2f4-47c7-b954-a72be9b1ca00 2014 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,0,0,0,0,1,1,0,0,0
