Key,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made
203b60aa-cb94-499c-a4ca-d3c6b94dddc4 2017 82d2d380-3834-4938-835f-aec541e5ece7,35,0,32
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2017 d26a1ca5-722d-4274-8f97-c92e49c96315,33,1,31
6444feb1-f5a4-4b45-9a45-79308a4445fd 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,27,0,27
4ceb866c-8eaf-49b5-9043-56228e43a2e5 2017 6680d28d-d4d2-49f6-aace-5292d3ec02c2,28,0,28
d96ff17c-841a-4768-8e08-3a4cfcb7f717 2017 6680d28d-d4d2-49f6-aace-5292d3ec02c2,12,0,12
be449b4d-799c-4045-8e9e-e8a7fd7c2cc8 2017 1c1cec48-6352-4556-b789-35304c1a6ae1,34,0,33
beb64618-614c-49f7-a3aa-c0c75b7839ea 2017 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,28,0,26
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2017 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,8,0,8
059e5bb7-1842-4558-9aaf-77c352a21216 2017 386bdbf9-9eea-4869-bb9a-274b0bc66e80,42,0,39
596c4000-ede5-45b0-8336-33efeb686d2b 2017 386bdbf9-9eea-4869-bb9a-274b0bc66e80,2,0,1
8fb2ca06-3d13-4552-98e0-7b913b4ab5b9 2017 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,23,2,20
058c99fc-470c-4579-a165-03e043335cc1 2017 22052ff7-c065-42ee-bc8f-c4691c50e624,19,0,18
d96ff17c-841a-4768-8e08-3a4cfcb7f717 2017 7b112545-38e6-483c-a55c-96cf6ee49cb8,2,0,2
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2017 7b112545-38e6-483c-a55c-96cf6ee49cb8,9,1,7
67f5e782-f91c-4536-9818-cf4a0e7e821d 2017 c5a59daa-53a7-4de0-851f-fb12be893e9e,41,0,40
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2017 a20471b4-a8d9-40c7-95ad-90cc30e46932,35,0,33
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2017 33405046-04ee-4058-a950-d606f8c30852,39,2,34
218d1644-603e-4da3-9ce1-48ce3927494f 2017 e6aa13a4-0055-48a9-bc41-be28dc106929,35,0,35
63f8a401-f308-4463-9d0b-4335b98da682 2017 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,37,1,34
c4cf84d0-6022-4ac1-a9ba-85587921c53f 2017 0d855753-ea21-4953-89f9-0e20aff9eb73,50,2,47
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2017 f0e724b0-4cbf-495a-be47-013907608da9,30,1,28
e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d 2017 de760528-1dc0-416a-a978-b510d20692ff,26,2,23
93d11276-45d2-4168-a9b7-df0cbf12dabb 2017 2eff2a03-54d4-46ba-890e-2bc3925548f3,46,0,44
f61e6429-3f9b-478c-8697-e00fe813ce9c 2017 2eff2a03-54d4-46ba-890e-2bc3925548f3,5,0,4
40cda44b-2ee3-4ad1-834e-995e30db84d4 2018 768c92aa-75ff-4a43-bcc0-f2798c2e1724,26,0,25
5ffb654f-0de5-424b-aa2f-ad511deb5b51 2018 4809ecb0-abd3-451d-9c4a-92a90b83ca06,36,0,35
7af4c94b-529b-4403-ab66-2bfed3fcf0c7 2018 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,33,0,30
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2018 97354895-8c77-4fd4-a860-32e62ea7382a,50,0,49
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2018 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,41,0,39
a2aab80d-174c-4639-beac-e2b70bb3625f 2018 d5a2eb42-8065-4174-ab79-0a6fa820e35e,29,0,25
cd0f4ef0-9914-4125-be4d-804a72350ceb 2018 d5a2eb42-8065-4174-ab79-0a6fa820e35e,5,0,3
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2018 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,37,0,36
441eb531-1ec8-4f65-9174-78bc6adada63 2018 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,48,0,43
bd49c4a4-1314-45e1-bff5-fc67ba41d1dd 2018 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,1,0,1
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2018 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,47,0,44
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2018 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,3,0,3
69bdf41e-3c32-46c1-93b8-e952edf5c61d 2018 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,20,1,19
203b60aa-cb94-499c-a4ca-d3c6b94dddc4 2018 82d2d380-3834-4938-835f-aec541e5ece7,41,0,39
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2018 d26a1ca5-722d-4274-8f97-c92e49c96315,31,1,28
6444feb1-f5a4-4b45-9a45-79308a4445fd 2018 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,35,0,35
375b0d7f-8d03-4111-8c1b-62907f0326a1 2018 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,28,0,27
596c4000-ede5-45b0-8336-33efeb686d2b 2018 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,15,0,9
4ceb866c-8eaf-49b5-9043-56228e43a2e5 2018 6680d28d-d4d2-49f6-aace-5292d3ec02c2,69,1,65
7bb70550-c28a-4e47-9a13-cc0c0fef8b38 2018 1c1cec48-6352-4556-b789-35304c1a6ae1,18,0,18
bd49c4a4-1314-45e1-bff5-fc67ba41d1dd 2018 1c1cec48-6352-4556-b789-35304c1a6ae1,5,0,5
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2018 1c1cec48-6352-4556-b789-35304c1a6ae1,5,1,4
99c9de87-7fe1-4d5e-928e-586f48af2d79 2018 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,33,0,32
059e5bb7-1842-4558-9aaf-77c352a21216 2018 386bdbf9-9eea-4869-bb9a-274b0bc66e80,35,0,33
8fb2ca06-3d13-4552-98e0-7b913b4ab5b9 2018 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,32,0,31
058c99fc-470c-4579-a165-03e043335cc1 2018 22052ff7-c065-42ee-bc8f-c4691c50e624,26,0,25
4b99ead5-0f79-4899-84a7-075c08890698 2018 7b112545-38e6-483c-a55c-96cf6ee49cb8,45,0,42
67f5e782-f91c-4536-9818-cf4a0e7e821d 2018 c5a59daa-53a7-4de0-851f-fb12be893e9e,30,0,30
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2018 a20471b4-a8d9-40c7-95ad-90cc30e46932,36,0,34
7bb70550-c28a-4e47-9a13-cc0c0fef8b38 2018 33405046-04ee-4058-a950-d606f8c30852,6,0,6
beb64618-614c-49f7-a3aa-c0c75b7839ea 2018 33405046-04ee-4058-a950-d606f8c30852,31,0,30
0d1171d4-c955-4966-9257-640b569866d1 2018 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,27,0,23
d96ff17c-841a-4768-8e08-3a4cfcb7f717 2018 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,17,0,17
218d1644-603e-4da3-9ce1-48ce3927494f 2018 e6aa13a4-0055-48a9-bc41-be28dc106929,35,0,33
be449b4d-799c-4045-8e9e-e8a7fd7c2cc8 2018 e6aa13a4-0055-48a9-bc41-be28dc106929,8,0,8
0d1171d4-c955-4966-9257-640b569866d1 2018 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,8,0,7
63f8a401-f308-4463-9d0b-4335b98da682 2018 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,33,0,30
c4cf84d0-6022-4ac1-a9ba-85587921c53f 2018 0d855753-ea21-4953-89f9-0e20aff9eb73,53,0,52
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2018 f0e724b0-4cbf-495a-be47-013907608da9,29,0,27
bd49c4a4-1314-45e1-bff5-fc67ba41d1dd 2018 de760528-1dc0-416a-a978-b510d20692ff,3,0,3
cd0f4ef0-9914-4125-be4d-804a72350ceb 2018 de760528-1dc0-416a-a978-b510d20692ff,6,0,5
e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d 2018 de760528-1dc0-416a-a978-b510d20692ff,15,0,15
93d11276-45d2-4168-a9b7-df0cbf12dabb 2018 2eff2a03-54d4-46ba-890e-2bc3925548f3,36,0,35
d96ff17c-841a-4768-8e08-3a4cfcb7f717 2018 2eff2a03-54d4-46ba-890e-2bc3925548f3,6,0,5
f61e6429-3f9b-478c-8697-e00fe813ce9c 2018 2eff2a03-54d4-46ba-890e-2bc3925548f3,10,0,10
480277d1-47c9-44df-969e-038a84cd0fea 2018 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,51,0,48
