Key,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2013 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,7.296,174,64.212,375,0,36,4261,0,14,0,67,55,3979,0.0,92.0,90,282,42,0,14,28,4261
e3181493-6a2a-4e95-aa6f-3fc1ddeb7512 2013 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,6.705,186,60.175,343,0,34,3822,0,9,0,73,73,3595,0.0,87.0,70,227,32,0,15,23,3822
de816e24-8442-49a4-99cd-dde7e7c05863 2013 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,5.593,27,48.836999999999996,42,0,7,481,0,7,0,67,67,414,0.0,36.0,7,67,12,0,7,1,481
f55053e4-4bfd-495d-981a-d62e3662f01b 2013 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,6.443,162,60.636,305,0,30,3241,0,14,0,62,62,2998,0.0,76.5,68,243,38,0,17,13,3241
1b3d350a-478b-4542-a430-d12cc96adc22 2013 82d2d380-3834-4938-835f-aec541e5ece7,6.957000000000001,94,54.15,137,0,17,1760,0,6,0,66,62,1559,0.0,78.2,14,201,19,0,13,9,1760
1f09583f-dcc1-43e8-a7fc-f063d2c96508 2013 82d2d380-3834-4938-835f-aec541e5ece7,6.452999999999999,123,61.173,219,0,12,2310,0,14,0,46,31,2148,0.0,73.0,46,162,21,0,18,10,2310
0742d2ea-1cf2-49a6-a150-77ba6e034d8c 2013 d26a1ca5-722d-4274-8f97-c92e49c96315,7.011,124,62.0,217,0,26,2454,0,12,0,77,77,2345,0.0,82.0,41,109,21,0,12,14,2454
0847010c-9a77-4f0b-9d63-c8b4b224d263 2013 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,5.938,11,68.75,11,0,1,95,0,0,0,19,0,87,0.0,84.1,0,8,2,0,1,0,95
0045a36c-f464-49e0-a25a-9210edc94bc1 2013 6680d28d-d4d2-49f6-aace-5292d3ec02c2,6.526,13,65.789,25,0,2,248,0,1,0,48,2,0,0.0,81.9,2,11,2,0,1,1,248
2fda010a-8c62-4c07-b601-4ba03f57e6af 2013 6680d28d-d4d2-49f6-aace-5292d3ec02c2,6.522,202,60.63,308,0,36,3313,0,7,0,71,71,0,0.0,89.1,74,210,39,0,18,23,3313
af48c3f0-040b-40f9-95ab-6ebcb4c16cf8 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,6.61,94,57.353,156,0,14,1798,0,11,0,73,73,1595,0.0,69.1,23,203,31,0,19,7,1798
c8232b55-6617-4dd9-a7cf-cf14cd9a29ab 2013 386bdbf9-9eea-4869-bb9a-274b0bc66e80,9.12,102,64.038,203,0,13,2891,0,2,0,63,63,2718,0.0,119.2,37,173,28,0,20,27,2891
da7cb0cc-543e-47d5-b29a-2ba2b341bd14 2013 386bdbf9-9eea-4869-bb9a-274b0bc66e80,6.122000000000001,13,61.224,30,0,3,300,0,4,0,26,0,276,0.0,44.6,3,24,3,0,0,0,300
6cb6226e-f08c-4192-95f1-69709ed686c6 2013 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,6.928999999999999,190,57.532,317,0,30,3818,0,27,0,70,70,3537,0.0,69.4,54,281,39,0,25,18,3818
8dfb370d-460c-4bfc-9d62-888687248783 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,7.024,163,60.088,274,0,36,3203,0,12,0,62,62,2929,0.0,82.2,55,274,38,0,15,16,3203
bbd0942c-6f77-4f83-a6d0-66ec6548019e 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,5.51,53,52.258,81,0,10,854,0,7,0,62,53,822,0.0,58.4,10,32,5,0,6,4,854
a261fd0a-b096-4db7-bd51-2f13bde485da 2013 7b112545-38e6-483c-a55c-96cf6ee49cb8,8.165,67,66.518,149,0,12,1829,0,1,0,80,80,1792,0.0,109.0,31,37,11,0,9,13,1829
ade43b1a-0601-4672-83b6-d246bc066a19 2013 c5a59daa-53a7-4de0-851f-fb12be893e9e,7.334,168,58.516999999999996,371,0,58,4650,0,19,0,87,79,4482,0.0,84.2,78,168,23,0,17,29,4650
