Key,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4 2016 33405046-04ee-4058-a950-d606f8c30852,1.3330000000000002,3,9,0,6,0,8
a1c40664-b265-4083-aad2-54b4c734f2c5 2016 33405046-04ee-4058-a950-d606f8c30852,7.5,1,19,0,6,0,45
da85107c-365c-4d58-90ab-479d97d798b4 2016 33405046-04ee-4058-a950-d606f8c30852,9.0,1,9,0,1,0,9
d6d41a89-a8af-48b9-bf75-561de99a1d87 2016 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,9.875,22,25,0,24,0,237
3aef6950-1c19-4454-a3d0-0afe9634ea9f 2016 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,6.966,24,19,0,29,0,202
36007e6e-ca6b-42ee-b9f8-79a9a964f5bc 2016 0d855753-ea21-4953-89f9-0e20aff9eb73,9.5,0,22,0,6,0,57
b103b096-6be9-4f87-9ae4-5d217f560685 2016 0d855753-ea21-4953-89f9-0e20aff9eb73,11.429,8,59,0,14,0,160
b6b954eb-4591-4b7a-86b9-a481f15fdd58 2016 0d855753-ea21-4953-89f9-0e20aff9eb73,2.0,0,2,0,1,0,2
769d7178-df4e-4127-8166-8116165921e8 2016 f0e724b0-4cbf-495a-be47-013907608da9,7.524,36,26,0,21,0,158
b040e601-ec40-4757-bf3d-71bf64ef99cf 2016 f0e724b0-4cbf-495a-be47-013907608da9,0.0,0,33,0,0,0,33
9b13d2bc-b22c-4f91-8eeb-309f43422d6e 2016 de760528-1dc0-416a-a978-b510d20692ff,7.0,11,32,0,17,0,119
4f724338-aa8c-436d-90b2-45299572c53e 2016 2eff2a03-54d4-46ba-890e-2bc3925548f3,1.0,3,6,0,5,0,5
502b3a6c-e965-478a-858e-964b4ac2296c 2016 2eff2a03-54d4-46ba-890e-2bc3925548f3,8.273,16,47,0,44,0,364
dffa69ad-331e-4f09-ae38-40a5a4406be6 2016 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,8.379,22,62,0,29,0,243
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2017 768c92aa-75ff-4a43-bcc0-f2798c2e1724,9.65,6,40,0,20,0,193
c5f35a06-791b-43e1-befc-df0c54b3b486 2017 768c92aa-75ff-4a43-bcc0-f2798c2e1724,1.0,1,2,0,2,0,2
06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,6.75,3,16,0,12,0,81
5de11f0b-8da9-42ba-9a93-db7f0a58543b 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,7.6,11,27,0,25,0,190
13ade86a-20c7-48fe-9d18-b3bfc135f5e9 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,10.0,2,10,0,1,0,10
2d52ede5-1c65-4f18-a8ac-9306192ef625 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,2.375,8,17,0,16,0,38
769d7178-df4e-4127-8166-8116165921e8 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5.313,9,15,0,16,0,85
973bfe3c-6d0d-4130-a79c-f860650b1da6 2017 97354895-8c77-4fd4-a860-32e62ea7382a,8.556000000000001,18,40,0,27,0,231
6bb4d6f8-c8fb-4ca7-a416-a7010526114d 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,7.127999999999999,19,29,0,39,0,278
31c376b7-2e10-473a-aa54-d9f709a5b93e 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,5.667000000000001,1,12,0,3,0,17
16e33176-b73e-49b7-b0aa-c405b47a706e 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,5.545,10,16,0,11,0,61
bb818cdc-cc6e-4e57-90bd-5a9d5f23f48e 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,7.684,10,27,0,19,0,146
958c9833-2e55-411a-8e0e-ecc229bbeb14 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,8.0,5,30,0,10,0,80
a2368d42-9e6b-4268-883a-f23ef7ef5638 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0.0,0,-8,0,0,0,-8
