Key,3D Attempt,3D Successes,3D Pct,4D Attempt,4D Successes,4D Pct,Goal to Go Attempts,Goal to Go Successes,Goal to Go Pct,RedZone Attempts,RedZone Successes,RedZone Pct
82d2d380-3834-4938-835f-aec541e5ece7 2014,235,91,38.723,17,10,58.824,27,21,77.778,48,26,54.167
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,196,59,30.101999999999997,17,6,35.294000000000004,20,12,60.0,39,19,48.718
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,213,94,44.131,13,6,46.153999999999996,37,27,72.973,62,39,62.903
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,201,80,39.801,12,5,41.667,25,17,68.0,48,28,58.333
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,236,80,33.898,15,9,60.0,17,15,88.235,29,21,72.414
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,201,95,47.263999999999996,6,3,50.0,23,19,82.609,51,33,64.706
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,237,103,43.46,11,7,63.636,32,20,62.5,59,29,49.153
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,235,101,42.979,16,5,31.25,34,26,76.471,61,36,59.016000000000005
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,197,62,31.471999999999998,16,4,25.0,26,16,61.538000000000004,48,23,47.917
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,207,78,37.681,28,13,46.428999999999995,26,19,73.077,47,30,63.83
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,223,86,38.565,20,10,50.0,25,17,68.0,47,25,53.191
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,197,93,47.208,10,4,40.0,37,25,67.568,64,37,57.813
33405046-04ee-4058-a950-d606f8c30852 2014,211,82,38.863,12,6,50.0,24,16,66.667,39,21,53.846000000000004
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,203,76,37.438,12,4,33.333,23,15,65.217,39,21,53.846000000000004
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,210,93,44.286,16,8,50.0,26,20,76.923,44,27,61.364
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,222,93,41.891999999999996,10,6,60.0,21,15,71.429,47,22,46.809
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,203,98,48.276,15,8,53.333,33,28,84.848,65,39,60.0
f0e724b0-4cbf-495a-be47-013907608da9 2014,213,86,40.376,18,10,55.556000000000004,24,15,62.5,44,19,43.181999999999995
de760528-1dc0-416a-a978-b510d20692ff 2014,224,90,40.179,4,3,75.0,18,10,55.556000000000004,38,16,42.105
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,212,90,42.453,11,3,27.273000000000003,35,21,60.0,60,31,51.667
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,227,86,37.885,16,7,43.75,18,11,61.111000000000004,38,19,50.0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,205,63,30.732,22,8,36.364000000000004,25,15,60.0,43,23,53.488
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,229,93,40.611,14,6,42.857,26,22,84.615,53,35,66.038
97354895-8c77-4fd4-a860-32e62ea7382a 2015,215,88,40.93,15,9,60.0,34,26,76.471,61,40,65.574
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,201,81,40.299,12,7,58.333,32,25,78.125,58,38,65.517
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,227,95,41.85,24,10,41.667,26,12,46.153999999999996,47,18,38.298
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,226,85,37.611,24,12,50.0,21,14,66.667,47,23,48.93600000000001
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,193,75,38.86,12,4,33.333,31,23,74.194,56,34,60.714
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,235,94,40.0,13,7,53.846000000000004,18,12,66.667,49,26,53.06100000000001
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,205,72,35.122,15,8,53.333,29,21,72.414,54,29,53.70399999999999
82d2d380-3834-4938-835f-aec541e5ece7 2015,249,96,38.554,19,6,31.579,22,15,68.182,45,26,57.778
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,201,64,31.840999999999998,15,7,46.667,23,19,82.609,40,26,65.0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,224,79,35.268,14,7,50.0,19,12,63.158,44,21,47.727
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,199,76,38.191,9,6,66.667,26,20,76.923,54,31,57.407
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,220,86,39.091,13,5,38.461999999999996,21,14,66.667,41,25,60.976000000000006
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,191,66,34.555,16,8,50.0,27,15,55.556000000000004,45,20,44.443999999999996
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,230,91,39.565,16,8,50.0,24,17,70.833,43,24,55.81399999999999
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,217,82,37.788000000000004,16,9,56.25,18,12,66.667,54,24,44.443999999999996
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,216,94,43.519,12,7,58.333,30,23,76.667,49,30,61.224
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,219,93,42.466,10,6,60.0,29,20,68.96600000000001,50,24,48.0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,203,75,36.946,14,7,50.0,29,24,82.759,49,34,69.388
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,208,70,33.654,21,11,52.381,30,18,60.0,52,28,53.846000000000004
33405046-04ee-4058-a950-d606f8c30852 2015,199,76,38.191,11,5,45.455,22,14,63.636,44,22,50.0
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,202,84,41.583999999999996,13,7,53.846000000000004,25,16,64.0,51,27,52.941
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,227,107,47.137,19,10,52.632,29,20,68.96600000000001,53,29,54.717
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,203,86,42.365,10,6,60.0,35,27,77.143,63,43,68.25399999999999
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,218,104,47.706,16,10,62.5,28,23,82.14299999999999,58,35,60.345
f0e724b0-4cbf-495a-be47-013907608da9 2015,213,65,30.516,19,9,47.368,18,10,55.556000000000004,39,17,43.59
de760528-1dc0-416a-a978-b510d20692ff 2015,198,93,46.97,9,4,44.443999999999996,30,21,70.0,63,38,60.317
