Key,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards
97354895-8c77-4fd4-a860-32e62ea7382a 2013,393,0,996,330,588,11,9,169,17,56,0,0,9,11,83,78,96,305.0,48.0,0,33,1,0,9,41,603,68.0,299.0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,306,0,920,362,627,13,11,171,20,67,2,0,5,25,112,96,105,279.0,43.0,0,25,3,0,4,67,614,65.0,270.0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,361,0,978,365,588,7,6,170,14,48,0,0,5,19,129,84,83,185.0,40.0,0,14,0,1,2,59,617,65.0,249.0
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,360,0,945,310,548,14,5,175,16,60,2,0,8,20,102,98,84,257.0,40.0,0,8,0,0,3,78,585,77.0,331.0
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,276,0,915,328,550,14,10,171,10,51,0,0,5,19,109,70,72,198.0,34.0,1,21,1,2,1,81,639,60.0,258.0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,279,0,920,320,524,15,10,153,15,49,4,0,3,7,95,77,81,248.0,42.0,2,22,2,4,5,63,641,60.0,276.0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,204,0,907,346,548,14,10,142,11,54,2,0,12,16,120,71,78,225.0,31.0,3,10,1,1,0,67,703,58.0,270.0
82d2d380-3834-4938-835f-aec541e5ece7 2013,208,0,848,286,484,8,4,171,7,75,0,1,10,22,108,68,105,183.0,32.0,1,8,2,1,0,75,640,70.0,231.0
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,198,0,865,340,543,13,12,170,13,50,0,0,14,19,105,86,75,227.0,36.0,0,28,2,1,3,68,667,68.0,296.0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,226,0,895,349,598,14,9,241,17,54,0,0,6,15,94,97,92,290.0,41.0,0,15,2,2,3,59,669,94.0,351.0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,122,0,826,331,566,12,11,220,21,45,0,0,5,15,96,100,76,309.0,47.0,0,10,0,1,7,73,704,69.0,326.0
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,214,0,934,370,530,17,10,165,9,66,2,0,11,21,133,40,78,260.0,38.0,0,17,4,2,7,67,720,84.0,351.0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,243,0,955,399,606,13,11,165,15,51,2,0,8,15,122,66,64,246.0,34.0,0,9,1,0,3,65,712,71.0,332.0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,202,0,941,410,654,11,11,199,19,62,0,0,6,14,113,96,69,271.0,37.0,2,17,1,2,1,71,739,73.0,344.0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,259,0,1001,358,590,13,9,175,17,65,0,0,9,27,98,80,90,206.0,34.0,0,24,1,2,3,73,742,73.0,266.0
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,325,0,943,335,518,12,9,154,16,48,1,0,12,29,141,62,72,238.0,36.0,0,26,0,0,3,76,618,76.0,287.0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,213,0,882,314,497,17,8,129,19,36,0,0,7,11,134,62,48,189.0,31.0,0,14,0,2,5,61,669,66.0,276.0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,214,0,801,341,564,8,7,196,15,62,4,0,11,25,98,88,90,249.0,33.0,2,22,0,3,0,60,587,76.0,329.0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,277,0,927,324,532,13,11,156,11,31,1,1,7,16,104,66,63,238.0,44.0,0,16,2,2,2,79,650,80.0,292.0
33405046-04ee-4058-a950-d606f8c30852 2013,329,0,1015,417,623,11,6,185,12,58,1,0,6,23,136,60,88,274.0,41.0,0,12,0,1,4,71,686,84.0,373.0
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,252,0,927,350,535,13,7,161,21,54,0,0,6,17,138,73,85,255.0,35.0,1,7,2,2,5,56,675,86.0,310.0
