Key,Interceptions,Interception Return Yards,Interceptions Returned
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2018,17,100,17
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2018,12,99,12
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2018,8,89,8
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2018,15,220,15
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2018,11,117,11
82d2d380-3834-4938-835f-aec541e5ece7 2018,15,252,15
d26a1ca5-722d-4274-8f97-c92e49c96315 2018,11,120,11
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2018,17,158,17
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2018,13,247,13
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2018,15,280,15
1c1cec48-6352-4556-b789-35304c1a6ae1 2018,14,124,14
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2018,9,141,9
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2018,10,139,10
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2018,16,191,16
22052ff7-c065-42ee-bc8f-c4691c50e624 2018,15,203,15
7b112545-38e6-483c-a55c-96cf6ee49cb8 2018,27,330,27
c5a59daa-53a7-4de0-851f-fb12be893e9e 2018,7,148,7
a20471b4-a8d9-40c7-95ad-90cc30e46932 2018,7,100,7
33405046-04ee-4058-a950-d606f8c30852 2018,12,159,12
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2018,9,97,9
e6aa13a4-0055-48a9-bc41-be28dc106929 2018,15,151,15
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2018,13,86,13
0d855753-ea21-4953-89f9-0e20aff9eb73 2018,12,259,12
f0e724b0-4cbf-495a-be47-013907608da9 2018,2,55,2
de760528-1dc0-416a-a978-b510d20692ff 2018,7,55,7
2eff2a03-54d4-46ba-890e-2bc3925548f3 2018,18,290,18
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2018,12,196,12
