Key,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,6.474,19,24,0,38,0,246
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,6.667000000000001,13,18,0,30,0,200
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,7.688,21,28,0,32,0,246
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,8.408999999999999,19,33,0,22,0,185
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,8.273,22,30,0,22,0,182
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,5.5,24,42,0,40,0,220
82d2d380-3834-4938-835f-aec541e5ece7 2016,10.949000000000002,29,67,67,39,1,427
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,7.867000000000001,22,18,0,30,0,236
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,8.541,26,25,0,37,0,316
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,14.8,8,95,95,40,2,592
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,9.267999999999999,13,47,0,41,0,380
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,7.071000000000001,15,39,0,28,0,198
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2016,12.947000000000001,13,66,0,19,0,246
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2016,6.111000000000001,17,19,0,45,0,275
22052ff7-c065-42ee-bc8f-c4691c50e624 2016,11.862,16,85,85,29,1,344
7b112545-38e6-483c-a55c-96cf6ee49cb8 2016,7.962999999999999,27,65,65,27,1,215
c5a59daa-53a7-4de0-851f-fb12be893e9e 2016,12.3,16,85,85,20,2,246
a20471b4-a8d9-40c7-95ad-90cc30e46932 2016,9.038,21,55,0,26,0,235
33405046-04ee-4058-a950-d606f8c30852 2016,10.412,22,79,79,34,2,354
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2016,9.172,22,25,0,29,0,266
e6aa13a4-0055-48a9-bc41-be28dc106929 2016,11.375,21,73,0,24,0,273
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2016,6.966,24,19,0,29,0,202
0d855753-ea21-4953-89f9-0e20aff9eb73 2016,9.609,17,59,0,23,0,221
f0e724b0-4cbf-495a-be47-013907608da9 2016,9.391,36,33,0,23,0,216
de760528-1dc0-416a-a978-b510d20692ff 2016,6.053,24,32,0,38,0,230
2eff2a03-54d4-46ba-890e-2bc3925548f3 2016,7.531000000000001,19,47,0,49,0,369
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2016,8.3,28,62,0,30,0,249
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2017,8.875,13,40,0,24,0,213
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2017,7.324,14,27,0,37,0,271
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2017,4.5,22,25,0,38,0,171
97354895-8c77-4fd4-a860-32e62ea7382a 2017,8.219,21,40,0,32,0,263
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2017,8.702,19,40,0,47,0,409
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2017,5.816,19,25,0,38,0,221
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2017,10.062999999999999,27,77,77,32,1,322
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2017,6.9,20,27,0,30,0,207
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2017,6.0,13,30,0,27,0,162
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2017,9.559,30,72,63,34,1,325
82d2d380-3834-4938-835f-aec541e5ece7 2017,8.457,20,49,0,35,0,296
d26a1ca5-722d-4274-8f97-c92e49c96315 2017,8.472000000000001,9,46,0,36,0,305
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2017,8.561,22,44,0,41,0,351
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2017,9.25,26,65,65,28,1,259
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2017,6.2860000000000005,10,82,82,35,1,220
1c1cec48-6352-4556-b789-35304c1a6ae1 2017,5.7410000000000005,21,19,0,27,0,155
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2017,8.871,15,83,83,31,1,275
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2017,8.931000000000001,20,76,0,29,0,259
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2017,5.481,23,20,0,27,0,148
22052ff7-c065-42ee-bc8f-c4691c50e624 2017,6.138,22,29,0,29,0,178
7b112545-38e6-483c-a55c-96cf6ee49cb8 2017,10.530999999999999,16,61,61,32,2,337
c5a59daa-53a7-4de0-851f-fb12be893e9e 2017,13.972999999999999,22,88,88,37,2,517
a20471b4-a8d9-40c7-95ad-90cc30e46932 2017,10.704,22,65,0,27,0,289
33405046-04ee-4058-a950-d606f8c30852 2017,9.538,26,46,0,39,0,372
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2017,9.6,14,44,0,20,0,192
e6aa13a4-0055-48a9-bc41-be28dc106929 2017,7.444,21,27,0,27,0,201
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2017,7.95,17,60,60,40,1,318
0d855753-ea21-4953-89f9-0e20aff9eb73 2017,6.412000000000001,23,24,0,34,0,218
f0e724b0-4cbf-495a-be47-013907608da9 2017,8.941,17,39,0,34,0,304
de760528-1dc0-416a-a978-b510d20692ff 2017,7.024,30,20,0,41,0,288
2eff2a03-54d4-46ba-890e-2bc3925548f3 2017,10.177999999999999,11,53,0,45,0,458
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2017,6.582999999999999,21,27,0,36,0,237
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2018,6.6770000000000005,17,31,0,31,0,207
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2018,10.464,16,71,71,28,1,293
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2018,12.96,28,78,78,25,1,324
97354895-8c77-4fd4-a860-32e62ea7382a 2018,7.654,15,25,0,26,0,199
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2018,10.727,21,38,0,22,0,236
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2018,9.062999999999999,24,37,0,32,0,290
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2018,11.543,29,70,70,35,1,404
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2018,8.129,26,23,0,31,0,252
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2018,9.042,28,51,0,24,0,217
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2018,9.824,16,74,74,34,1,334
82d2d380-3834-4938-835f-aec541e5ece7 2018,8.605,16,30,0,38,0,327
d26a1ca5-722d-4274-8f97-c92e49c96315 2018,8.777999999999999,11,38,0,27,0,237
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2018,4.4,17,20,0,30,0,132
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2018,10.529000000000002,15,73,73,34,1,358
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2018,11.864,3,91,91,22,1,261
1c1cec48-6352-4556-b789-35304c1a6ae1 2018,11.64,19,99,99,25,1,291
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2018,5.667000000000001,25,22,0,21,0,119
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2018,6.545,11,42,0,33,0,216
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2018,6.242999999999999,13,23,0,37,0,231
22052ff7-c065-42ee-bc8f-c4691c50e624 2018,6.471,23,30,0,17,0,110
7b112545-38e6-483c-a55c-96cf6ee49cb8 2018,12.455,21,44,0,33,0,411
c5a59daa-53a7-4de0-851f-fb12be893e9e 2018,6.332999999999999,20,25,0,27,0,171
a20471b4-a8d9-40c7-95ad-90cc30e46932 2018,6.6,19,24,0,30,0,198
33405046-04ee-4058-a950-d606f8c30852 2018,10.862,21,70,0,29,0,315
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2018,6.269,15,16,0,26,0,163
e6aa13a4-0055-48a9-bc41-be28dc106929 2018,7.0,24,18,0,21,0,147
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2018,6.875,16,30,0,24,0,165
0d855753-ea21-4953-89f9-0e20aff9eb73 2018,6.542000000000001,18,17,0,24,0,157
f0e724b0-4cbf-495a-be47-013907608da9 2018,5.806,18,23,0,31,0,180
de760528-1dc0-416a-a978-b510d20692ff 2018,8.193999999999999,21,45,0,36,0,295
2eff2a03-54d4-46ba-890e-2bc3925548f3 2018,10.232999999999999,15,60,0,30,0,307
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2018,5.72,20,19,0,25,0,143
