Key,Penalties,Penalty Yards
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2017,91,749
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2017,101,896
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2017,92,779
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2017,112,936
82d2d380-3834-4938-835f-aec541e5ece7 2017,124,1050
d26a1ca5-722d-4274-8f97-c92e49c96315 2017,85,785
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2017,113,885
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2017,108,927
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2017,118,1044
1c1cec48-6352-4556-b789-35304c1a6ae1 2017,114,1009
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2017,97,939
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2017,116,962
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2017,91,895
22052ff7-c065-42ee-bc8f-c4691c50e624 2017,92,732
7b112545-38e6-483c-a55c-96cf6ee49cb8 2017,115,943
c5a59daa-53a7-4de0-851f-fb12be893e9e 2017,104,968
a20471b4-a8d9-40c7-95ad-90cc30e46932 2017,96,789
33405046-04ee-4058-a950-d606f8c30852 2017,100,949
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2017,104,795
e6aa13a4-0055-48a9-bc41-be28dc106929 2017,102,918
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2017,83,682
0d855753-ea21-4953-89f9-0e20aff9eb73 2017,105,962
f0e724b0-4cbf-495a-be47-013907608da9 2017,123,988
de760528-1dc0-416a-a978-b510d20692ff 2017,110,880
2eff2a03-54d4-46ba-890e-2bc3925548f3 2017,107,922
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2017,148,1342
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2018,116,992
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2018,108,978
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2018,114,948
97354895-8c77-4fd4-a860-32e62ea7382a 2018,93,744
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2018,114,957
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2018,112,894
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2018,116,940
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2018,111,1026
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2018,120,953
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2018,121,1112
82d2d380-3834-4938-835f-aec541e5ece7 2018,105,787
d26a1ca5-722d-4274-8f97-c92e49c96315 2018,82,727
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2018,125,985
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2018,113,967
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2018,137,1152
1c1cec48-6352-4556-b789-35304c1a6ae1 2018,110,965
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2018,104,885
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2018,100,852
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2018,114,951
22052ff7-c065-42ee-bc8f-c4691c50e624 2018,115,1008
7b112545-38e6-483c-a55c-96cf6ee49cb8 2018,97,796
c5a59daa-53a7-4de0-851f-fb12be893e9e 2018,94,852
a20471b4-a8d9-40c7-95ad-90cc30e46932 2018,108,937
33405046-04ee-4058-a950-d606f8c30852 2018,92,779
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2018,117,975
e6aa13a4-0055-48a9-bc41-be28dc106929 2018,101,899
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2018,92,818
0d855753-ea21-4953-89f9-0e20aff9eb73 2018,94,939
f0e724b0-4cbf-495a-be47-013907608da9 2018,112,982
de760528-1dc0-416a-a978-b510d20692ff 2018,101,786
2eff2a03-54d4-46ba-890e-2bc3925548f3 2018,96,878
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2018,111,959
