Key,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,75,4.285,38.147,42.44,0,321.407,20,58,2861,262,3,3183
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,90,4.262,39.9,44.343999999999994,0,383.615,32,66,3591,300,5,3991
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,76,4.317,37.827,43.147,1,323.742,24,59,2837,319,4,3236
97354895-8c77-4fd4-a860-32e62ea7382a 2016,72,4.213,41.431000000000004,44.681000000000004,0,303.301,23,57,2983,134,5,3217
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,78,4.154,39.538000000000004,46.321000000000005,0,324.02299999999997,23,72,3084,369,8,3613
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,83,4.305,40.301,45.313,0,357.343,22,65,3345,376,2,3761
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,80,4.291,39.875,45.813,0,343.31300000000005,37,68,3190,375,5,3665
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,69,4.342,40.75,45.588,1,295.223,25,64,2771,269,3,3100
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,56,4.402,43.49100000000001,49.291000000000004,1,242.137,19,74,2392,139,9,2711
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,77,4.484,39.481,46.61,0,345.293,27,78,3040,389,8,3589
82d2d380-3834-4938-835f-aec541e5ece7 2016,72,4.28,40.083,47.542,0,308.193,30,62,2886,477,3,3423
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,77,4.277,38.635999999999996,44.181999999999995,0,329.32000000000005,32,71,2975,347,4,3402
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,89,4.311,41.315,45.708,0,383.721,28,68,3677,271,6,4068
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,76,4.468999999999999,40.658,45.092,0,339.64900000000006,38,64,3090,157,9,3427
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,81,4.408,41.383,48.605,0,357.021,34,72,3352,405,9,3937
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,59,4.657,41.19,45.879,1,270.105,25,66,2389,192,4,2661
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2016,63,4.253,40.73,45.841,0,267.95000000000005,21,72,2566,202,6,2888
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2016,93,4.1419999999999995,40.935,46.20399999999999,0,385.24900000000014,28,63,3807,330,8,4297
22052ff7-c065-42ee-bc8f-c4691c50e624 2016,49,4.351,38.918,45.082,0,213.204,15,61,1907,222,4,2209
7b112545-38e6-483c-a55c-96cf6ee49cb8 2016,68,4.43,38.412,44.028999999999996,0,301.226,24,67,2612,282,5,2994
c5a59daa-53a7-4de0-851f-fb12be893e9e 2016,62,4.423,44.193999999999996,48.548,0,274.22600000000006,23,63,2740,210,3,3010
a20471b4-a8d9-40c7-95ad-90cc30e46932 2016,56,4.3069999999999995,39.089,43.214,0,241.174,19,65,2189,151,4,2420
