Key,Season,Team ID,TD Fumble Returns,TD Interception Return,TD Kick Return,TD Other,TD Pass,TD Punt Return,TD Rush,TD Total,TD Total Return
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,2015,22052ff7-c065-42ee-bc8f-c4691c50e624,1,1,2,1,30,0,9,44,4
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,2015,7b112545-38e6-483c-a55c-96cf6ee49cb8,0,0,0,0,21,0,13,34,0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,2015,c5a59daa-53a7-4de0-851f-fb12be893e9e,1,1,0,0,33,0,7,42,2
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,2015,a20471b4-a8d9-40c7-95ad-90cc30e46932,1,2,0,0,31,0,8,42,3
33405046-04ee-4058-a950-d606f8c30852 2015,2015,33405046-04ee-4058-a950-d606f8c30852,1,2,2,0,14,1,18,38,6
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,2015,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,2,1,0,0,22,0,12,37,3
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,2015,e6aa13a4-0055-48a9-bc41-be28dc106929,3,1,0,0,21,0,13,38,4
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,2015,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,1,4,0,0,35,0,19,59,5
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,2015,0d855753-ea21-4953-89f9-0e20aff9eb73,1,0,0,1,32,1,16,51,2
f0e724b0-4cbf-495a-be47-013907608da9 2015,2015,f0e724b0-4cbf-495a-be47-013907608da9,0,1,0,0,16,0,7,24,1
de760528-1dc0-416a-a978-b510d20692ff 2015,2015,de760528-1dc0-416a-a978-b510d20692ff,2,4,1,0,35,0,16,58,7
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2015,2015,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3,0,1,0,34,1,10,49,5
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,2016,768c92aa-75ff-4a43-bcc0-f2798c2e1724,2,1,0,0,17,0,29,49,3
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,2016,4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,1,1,1,27,1,14,45,3
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,2016,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,1,0,0,1,16,0,10,28,1
97354895-8c77-4fd4-a860-32e62ea7382a 2016,2016,97354895-8c77-4fd4-a860-32e62ea7382a,0,0,0,0,32,0,19,51,0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,2016,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,0,0,0,18,0,17,35,0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,2016,d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,1,0,0,15,0,13,29,1
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,2016,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,1,0,0,1,20,0,10,32,1
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,2016,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,1,0,0,0,33,0,13,47,1
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,2016,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,1,0,1,0,32,0,13,47,2
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,2016,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0,1,1,0,24,0,8,34,2
82d2d380-3834-4938-835f-aec541e5ece7 2016,2016,82d2d380-3834-4938-835f-aec541e5ece7,0,1,0,0,15,1,8,25,2
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,2016,d26a1ca5-722d-4274-8f97-c92e49c96315,1,0,0,0,29,0,16,46,1
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,2016,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,1,3,0,0,20,0,11,35,4
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,2016,6680d28d-d4d2-49f6-aace-5292d3ec02c2,1,4,1,0,19,2,15,42,8
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,2016,1c1cec48-6352-4556-b789-35304c1a6ae1,0,1,0,0,29,0,17,47,1
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,2016,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,0,0,0,0,25,0,24,49,0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2016,2016,386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,3,2,0,16,0,16,37,5
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2016,2016,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,2,1,0,1,26,0,6,36,3
22052ff7-c065-42ee-bc8f-c4691c50e624 2016,2016,22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,0,0,25,1,17,43,1
7b112545-38e6-483c-a55c-96cf6ee49cb8 2016,2016,7b112545-38e6-483c-a55c-96cf6ee49cb8,1,1,0,0,19,1,10,32,3
c5a59daa-53a7-4de0-851f-fb12be893e9e 2016,2016,c5a59daa-53a7-4de0-851f-fb12be893e9e,0,1,0,0,24,2,9,36,3
a20471b4-a8d9-40c7-95ad-90cc30e46932 2016,2016,a20471b4-a8d9-40c7-95ad-90cc30e46932,0,0,0,0,40,0,11,51,0
33405046-04ee-4058-a950-d606f8c30852 2016,2016,33405046-04ee-4058-a950-d606f8c30852,2,2,1,0,20,2,9,36,7
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2016,2016,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,4,0,0,29,0,8,41,4
e6aa13a4-0055-48a9-bc41-be28dc106929 2016,2016,e6aa13a4-0055-48a9-bc41-be28dc106929,2,3,0,0,38,0,20,63,5
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2016,2016,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,2,1,0,0,21,0,16,40,3
0d855753-ea21-4953-89f9-0e20aff9eb73 2016,2016,0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,0,0,38,0,17,55,0
f0e724b0-4cbf-495a-be47-013907608da9 2016,2016,f0e724b0-4cbf-495a-be47-013907608da9,0,0,0,0,21,0,15,36,0
de760528-1dc0-416a-a978-b510d20692ff 2016,2016,de760528-1dc0-416a-a978-b510d20692ff,1,2,0,0,28,0,20,51,3
2eff2a03-54d4-46ba-890e-2bc3925548f3 2016,2016,2eff2a03-54d4-46ba-890e-2bc3925548f3,1,0,0,0,14,0,9,24,1
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2016,2016,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,1,0,0,0,23,0,13,37,1
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2017,2017,768c92aa-75ff-4a43-bcc0-f2798c2e1724,2,1,0,0,16,0,12,31,3
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2017,2017,4809ecb0-abd3-451d-9c4a-92a90b83ca06,2,1,0,0,24,0,4,31,3
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2017,2017,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,0,0,19,0,13,32,0
97354895-8c77-4fd4-a860-32e62ea7382a 2017,2017,97354895-8c77-4fd4-a860-32e62ea7382a,0,0,1,0,32,0,16,49,1
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2017,2017,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,3,0,0,25,0,6,34,3
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2017,2017,d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,1,0,0,15,0,11,27,1
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2017,2017,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,3,3,1,0,20,1,14,42,8
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2017,2017,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,1,1,29,0,12,43,1
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2017,2017,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,1,0,0,13,0,11,25,1
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2017,2017,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,5,2,0,0,21,1,18,47,8
82d2d380-3834-4938-835f-aec541e5ece7 2017,2017,82d2d380-3834-4938-835f-aec541e5ece7,2,2,0,0,28,0,8,40,4
d26a1ca5-722d-4274-8f97-c92e49c96315 2017,2017,d26a1ca5-722d-4274-8f97-c92e49c96315,1,0,0,0,14,0,18,33,1
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2017,2017,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,2,2,0,0,19,0,8,31,4
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2017,2017,1f6dcffb-9823-43cd-9ff4-e7a8466749b5,2,2,0,0,28,1,10,43,5
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2017,2017,6680d28d-d4d2-49f6-aace-5292d3ec02c2,3,0,0,0,26,1,12,42,4
1c1cec48-6352-4556-b789-35304c1a6ae1 2017,2017,1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,0,0,23,0,13,36,0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2017,2017,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,0,1,0,0,22,1,18,42,2
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2017,2017,386bdbf9-9eea-4869-bb9a-274b0bc66e80,5,1,0,0,38,0,9,53,6
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2017,2017,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,0,2,0,0,20,0,6,28,2
22052ff7-c065-42ee-bc8f-c4691c50e624 2017,2017,22052ff7-c065-42ee-bc8f-c4691c50e624,0,2,0,0,27,0,10,39,2
7b112545-38e6-483c-a55c-96cf6ee49cb8 2017,2017,7b112545-38e6-483c-a55c-96cf6ee49cb8,1,2,0,0,13,2,13,31,5
c5a59daa-53a7-4de0-851f-fb12be893e9e 2017,2017,c5a59daa-53a7-4de0-851f-fb12be893e9e,2,3,0,0,29,2,10,46,7
