Key,Field Goal Attempts,Field Goal Avg Yards,Field Goal Blocked,Field Goal Longest,Field Goal Made,Field Goal Yards
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,31,33.839,0,53,30,1049
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,26,34.043,3,53,20,783
82d2d380-3834-4938-835f-aec541e5ece7 2014,35,34.303000000000004,2,55,30,1132
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,22,30.455,0,51,19,670
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,29,26.448,0,50,24,767
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,30,27.566999999999997,0,53,25,827
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,22,36.635999999999996,0,57,19,806
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,29,35.536,1,56,25,995
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,36,30.778000000000002,0,54,32,1108
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,26,34.96,1,53,24,874
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,27,29.704,0,49,24,802
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,16,25.688000000000002,0,48,12,411
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,38,24.611,2,52,25,886
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,33,32.467,3,55,27,974
33405046-04ee-4058-a950-d606f8c30852 2014,35,29.545,2,55,26,975
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,24,37.773,2,55,20,831
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,32,34.677,1,54,29,1075
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,35,30.794,1,53,29,1047
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,22,28.909000000000002,0,50,19,636
f0e724b0-4cbf-495a-be47-013907608da9 2014,31,31.6,1,55,25,948
de760528-1dc0-416a-a978-b510d20692ff 2014,33,33.0,0,51,29,1089
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,37,31.057,2,58,31,1087
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,27,31.778000000000002,0,52,23,858
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,16,28.25,0,53,13,452
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,33,30.121,0,55,27,994
97354895-8c77-4fd4-a860-32e62ea7382a 2015,36,35.25,0,57,33,1269
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,28,31.704,1,52,23,856
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,32,33.393,4,47,28,935
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,40,30.325,0,52,33,1213
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,42,29.381,0,51,35,1234
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,27,35.593,0,55,25,961
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,30,31.31,1,58,26,908
82d2d380-3834-4938-835f-aec541e5ece7 2015,27,30.259,0,51,23,817
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,16,34.75,0,51,14,556
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,35,30.656999999999996,0,57,30,1073
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,37,31.305999999999997,1,53,30,1127
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,26,31.08,1,56,21,777
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,32,33.625,0,54,30,1076
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,26,29.654,0,53,21,771
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,32,34.25,0,53,30,1096
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,30,32.448,1,54,26,941
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,39,32.128,0,55,33,1253
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,24,37.167,0,59,22,892
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,28,32.556,1,56,24,879
33405046-04ee-4058-a950-d606f8c30852 2015,39,33.263000000000005,1,54,34,1264
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,40,25.85,0,58,29,1034
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,31,30.933000000000003,1,54,25,928
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,36,34.688,4,52,30,1110
