Key,Int Ret Avg Yds,Int Ret Longest,Int Ret Longest TD,Int Ret Returns,Int Ret Touchdowns,Int Ret Yds
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2017,16.538,33,26,13,1,215
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2017,14.0,67,51,21,2,294
82d2d380-3834-4938-835f-aec541e5ece7 2017,13.091,82,82,11,2,144
d26a1ca5-722d-4274-8f97-c92e49c96315 2017,12.833,33,0,12,0,154
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2017,23.7,103,103,10,2,237
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2017,16.778,90,90,18,2,302
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2017,12.562999999999999,62,0,16,0,201
1c1cec48-6352-4556-b789-35304c1a6ae1 2017,2.0,8,0,5,0,10
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2017,9.8,25,21,10,1,98
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2017,14.632,59,37,19,1,278
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2017,12.385,53,53,13,2,161
22052ff7-c065-42ee-bc8f-c4691c50e624 2017,12.125,96,96,16,2,194
7b112545-38e6-483c-a55c-96cf6ee49cb8 2017,31.625,90,90,8,2,253
c5a59daa-53a7-4de0-851f-fb12be893e9e 2017,13.315999999999999,37,37,19,3,253
a20471b4-a8d9-40c7-95ad-90cc30e46932 2017,4.909,21,21,11,1,54
33405046-04ee-4058-a950-d606f8c30852 2017,14.286,36,31,14,1,200
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2017,16.769000000000002,47,47,13,1,218
e6aa13a4-0055-48a9-bc41-be28dc106929 2017,13.5,43,0,8,0,108
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2017,7.8,40,0,10,0,78
0d855753-ea21-4953-89f9-0e20aff9eb73 2017,9.6,33,27,20,2,192
f0e724b0-4cbf-495a-be47-013907608da9 2017,18.5,50,50,10,1,185
de760528-1dc0-416a-a978-b510d20692ff 2017,17.2,82,82,15,1,258
2eff2a03-54d4-46ba-890e-2bc3925548f3 2017,22.278000000000002,69,41,18,3,401
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2017,15.142999999999999,78,78,14,3,212
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2018,8.312999999999999,37,0,16,0,133
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2018,15.286,54,50,21,3,321
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2018,24.462,104,36,13,3,318
97354895-8c77-4fd4-a860-32e62ea7382a 2018,8.667,84,84,18,1,156
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2018,18.5,58,58,12,3,222
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2018,5.882000000000001,50,0,17,0,100
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2018,8.25,33,0,12,0,99
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2018,11.125,35,17,8,2,89
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2018,14.667,47,0,15,0,220
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2018,10.636,33,33,11,2,117
82d2d380-3834-4938-835f-aec541e5ece7 2018,16.8,101,101,15,3,252
d26a1ca5-722d-4274-8f97-c92e49c96315 2018,10.909,56,56,11,2,120
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2018,9.294,53,53,17,2,158
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2018,19.0,86,42,13,1,247
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2018,18.667,67,54,15,3,280
1c1cec48-6352-4556-b789-35304c1a6ae1 2018,8.857000000000001,36,36,14,1,124
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2018,15.667,49,0,9,0,141
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2018,13.9,29,0,10,0,139
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2018,11.937999999999999,46,15,16,3,191
22052ff7-c065-42ee-bc8f-c4691c50e624 2018,13.533,40,0,15,0,203
7b112545-38e6-483c-a55c-96cf6ee49cb8 2018,12.222000000000001,49,49,27,5,330
c5a59daa-53a7-4de0-851f-fb12be893e9e 2018,21.143,67,67,7,2,148
a20471b4-a8d9-40c7-95ad-90cc30e46932 2018,14.286,27,22,7,1,100
33405046-04ee-4058-a950-d606f8c30852 2018,13.25,52,28,12,1,159
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2018,10.777999999999999,50,0,9,0,97
e6aa13a4-0055-48a9-bc41-be28dc106929 2018,10.067,41,41,15,1,151
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2018,6.615,39,0,13,0,86
0d855753-ea21-4953-89f9-0e20aff9eb73 2018,21.583000000000002,78,45,12,1,259
f0e724b0-4cbf-495a-be47-013907608da9 2018,27.5,32,32,2,1,55
de760528-1dc0-416a-a978-b510d20692ff 2018,7.857,25,0,7,0,55
2eff2a03-54d4-46ba-890e-2bc3925548f3 2018,16.111,50,50,18,3,290
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2018,16.333,98,98,12,1,196
