Key,Fumble End Zone Touch Downs,Forced Fumbles,Fumbles,Lost Fumbles,Fumbles Opponent Recovery,Fumbles Opponent Recovery Touchdowns,Fumbles Opponent Recovery Yards,Fumbles Out of Bounds,Fumbles Own Recovery,Fumbles Own Recovery Touchdowns,Fumbles Own Recovery Yards
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2018,0,9,25,11,5,3,117,1,13,0,-27
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2018,1,13,21,9,7,1,2,3,10,0,0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2018,0,15,17,9,11,0,38,3,5,0,-15
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2018,0,7,26,16,6,0,5,1,9,0,3
82d2d380-3834-4938-835f-aec541e5ece7 2018,1,20,19,7,14,1,11,3,9,0,-25
d26a1ca5-722d-4274-8f97-c92e49c96315 2018,0,12,18,6,6,0,8,3,9,0,-12
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2018,0,13,18,6,10,0,7,2,10,0,-6
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2018,0,7,17,7,7,1,46,1,9,0,-36
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2018,0,23,18,6,12,1,2,1,11,0,-3
1c1cec48-6352-4556-b789-35304c1a6ae1 2018,0,5,24,14,3,0,0,2,8,0,-6
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2018,0,14,23,9,11,1,93,2,12,0,-4
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2018,0,12,29,12,7,0,43,3,14,0,-7
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2018,0,11,16,7,5,0,50,3,6,0,0
22052ff7-c065-42ee-bc8f-c4691c50e624 2018,0,19,18,4,11,1,34,1,13,0,3
7b112545-38e6-483c-a55c-96cf6ee49cb8 2018,0,18,23,10,9,1,80,2,11,0,-31
c5a59daa-53a7-4de0-851f-fb12be893e9e 2018,0,10,14,7,7,0,20,1,6,0,0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2018,0,10,22,11,8,0,0,2,9,0,0
33405046-04ee-4058-a950-d606f8c30852 2018,0,8,15,10,8,2,96,0,5,0,-32
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2018,0,12,23,9,8,1,37,1,13,1,-33
e6aa13a4-0055-48a9-bc41-be28dc106929 2018,0,8,24,11,4,1,74,2,11,0,-16
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2018,1,13,20,6,9,1,0,4,10,0,0
0d855753-ea21-4953-89f9-0e20aff9eb73 2018,0,19,18,9,12,0,110,3,7,0,-2
f0e724b0-4cbf-495a-be47-013907608da9 2018,0,11,31,12,5,0,2,3,16,0,-23
de760528-1dc0-416a-a978-b510d20692ff 2018,0,13,23,10,9,2,110,1,12,0,-5
2eff2a03-54d4-46ba-890e-2bc3925548f3 2018,0,13,17,7,12,1,58,0,10,0,-13
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2018,0,18,18,4,14,1,42,4,10,0,-17
