Key,Kick Return Yards,Kick Return Avg Yards,Kick Return Fair Catches,Kick Return Longest,Kick Return Returns,Kick Return Touchdowns
f0e724b0-4cbf-495a-be47-013907608da9 2016,749,19.711,0,0,38,0
de760528-1dc0-416a-a978-b510d20692ff 2016,544,21.76,1,0,25,0
2eff2a03-54d4-46ba-890e-2bc3925548f3 2016,1122,23.872,0,0,47,0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2016,808,23.086,0,0,35,0
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2017,640,20.0,1,0,32,0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2017,834,20.85,0,0,40,0
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2017,683,20.088,0,0,34,0
97354895-8c77-4fd4-a860-32e62ea7382a 2017,622,22.214000000000002,0,103,28,1
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2017,670,19.706,0,0,34,0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2017,790,22.570999999999998,0,0,35,0
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2017,936,27.529,0,96,34,1
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2017,630,19.090999999999998,0,96,33,1
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2017,590,21.070999999999998,0,0,28,0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2017,551,22.04,0,0,25,0
82d2d380-3834-4938-835f-aec541e5ece7 2017,558,20.666999999999998,0,0,27,0
d26a1ca5-722d-4274-8f97-c92e49c96315 2017,618,22.070999999999998,1,0,28,0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2017,768,22.588,0,0,34,0
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2017,474,18.96,0,0,25,0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2017,1051,22.362,0,0,47,0
1c1cec48-6352-4556-b789-35304c1a6ae1 2017,738,21.706,0,0,34,0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2017,620,24.8,1,0,25,0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2017,354,19.667,0,0,18,0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2017,609,19.645,0,0,31,0
22052ff7-c065-42ee-bc8f-c4691c50e624 2017,673,19.794,0,0,34,0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2017,969,21.065,0,0,46,0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2017,583,18.219,0,0,32,0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2017,761,21.743000000000002,0,0,35,0
33405046-04ee-4058-a950-d606f8c30852 2017,619,24.76,0,0,25,0
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2017,432,21.6,0,0,20,0
e6aa13a4-0055-48a9-bc41-be28dc106929 2017,871,22.333000000000002,0,0,39,0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2017,760,22.353,0,103,34,1
0d855753-ea21-4953-89f9-0e20aff9eb73 2017,825,22.916999999999998,0,106,36,1
f0e724b0-4cbf-495a-be47-013907608da9 2017,570,18.387,0,0,31,0
de760528-1dc0-416a-a978-b510d20692ff 2017,592,20.414,0,0,29,0
2eff2a03-54d4-46ba-890e-2bc3925548f3 2017,1001,25.025,0,103,40,1
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2017,1004,23.349,0,99,43,1
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2018,807,21.237,0,0,38,0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2018,938,24.051,0,102,39,1
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2018,1238,26.913,1,99,46,1
97354895-8c77-4fd4-a860-32e62ea7382a 2018,755,26.964000000000002,0,95,28,1
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2018,1071,24.906999999999996,0,0,43,0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2018,884,20.090999999999998,1,0,44,0
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2018,707,22.094,0,0,32,0
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2018,619,19.344,0,0,32,0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2018,337,19.824,0,0,17,0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2018,532,20.462,0,0,26,0
82d2d380-3834-4938-835f-aec541e5ece7 2018,487,24.35,0,0,20,0
d26a1ca5-722d-4274-8f97-c92e49c96315 2018,737,32.043,0,94,23,1
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2018,604,20.133,0,0,30,0
