Key,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,3044,11.548,0,0,50,57,46,445,6,730,22,5139,2095,0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,2256,11.61,0,0,46,73,72,374,9,544,40,4342,2086,0
33405046-04ee-4058-a950-d606f8c30852 2012,1325,9.783,0,0,26,65,20,300,6,479,18,2935,1610,0
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,2488,13.325,0,0,33,95,64,311,7,559,27,4144,1656,0
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,2658,11.182,0,0,28,80,80,422,14,611,32,4719,2061,0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,2183,13.827,0,0,22,82,53,284,12,485,19,3927,1744,0
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,3024,12.262,0,0,49,80,80,423,13,655,43,5187,2163,0
f0e724b0-4cbf-495a-be47-013907608da9 2012,2071,12.287,0,0,31,57,49,289,2,431,23,3551,1480,0
de760528-1dc0-416a-a978-b510d20692ff 2012,2020,10.039,0,0,35,53,46,337,3,605,11,3383,1363,0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,1963,12.485999999999999,0,0,26,67,46,259,5,401,27,3234,1271,0
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,1865,11.280999999999999,0,0,35,59,59,299,37,519,16,3373,1508,0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,2431,11.109000000000002,0,0,33,67,53,357,64,582,24,3966,1535,0
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,1925,12.293,0,0,28,69,69,266,49,478,13,3270,1345,0
97354895-8c77-4fd4-a860-32e62ea7382a 2013,2329,11.429,0,0,53,81,81,380,80,618,25,4343,2014,0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,2238,11.863,0,0,35,82,82,364,64,576,33,4318,2080,0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,2397,11.536,0,0,51,95,95,379,73,670,26,4372,1975,0
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,2163,10.782,0,0,34,74,66,363,75,614,19,3914,1751,0
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,2279,11.422,0,0,36,56,55,377,87,579,28,4306,2027,0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,1966,11.290999999999999,0,0,34,73,73,350,73,577,23,3952,1986,0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,1673,10.748,0,0,37,67,67,349,76,585,16,3751,2078,0
82d2d380-3834-4938-835f-aec541e5ece7 2013,2531,11.275,0,0,30,66,62,371,64,621,19,4183,1652,0
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,2049,11.311,0,0,39,77,77,328,54,526,22,3710,1661,0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,2920,12.087,0,0,44,78,78,461,110,670,55,5572,2652,0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,1657,10.694,0,0,39,71,71,333,75,535,24,3561,1904,0
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,1906,12.177999999999999,0,0,28,73,73,298,53,508,17,3629,1723,0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,2219,11.269,0,0,33,82,82,375,65,580,33,4226,2007,0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,2371,14.213,0,0,24,70,63,310,56,494,32,4406,2035,0
