,Player Season,Player ID,Team ID,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds
124,2017,c4cf84d0-6022-4ac1-a9ba-85587921c53f,0d855753-ea21-4953-89f9-0e20aff9eb73,24,14,94,3,0,2,788,0,58,5972
125,2017,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,f0e724b0-4cbf-495a-be47-013907608da9,0,0,4,2,1,0,2,2,0,101
126,2017,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,de760528-1dc0-416a-a978-b510d20692ff,18,9,76,2,0,1,863,3,34,4647
127,2017,93d11276-45d2-4168-a9b7-df0cbf12dabb,2eff2a03-54d4-46ba-890e-2bc3925548f3,10,8,95,0,0,2,411,0,73,6075
128,2017,f61e6429-3f9b-478c-8697-e00fe813ce9c,2eff2a03-54d4-46ba-890e-2bc3925548f3,2,0,8,0,0,0,109,0,5,511
129,2018,40cda44b-2ee3-4ad1-834e-995e30db84d4,768c92aa-75ff-4a43-bcc0-f2798c2e1724,11,9,66,3,0,0,754,4,30,3958
130,2018,5ffb654f-0de5-424b-aa2f-ad511deb5b51,4809ecb0-abd3-451d-9c4a-92a90b83ca06,3,1,70,1,0,1,339,0,55,4395
131,2018,7af4c94b-529b-4403-ab66-2bfed3fcf0c7,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,9,3,82,0,0,0,531,1,60,5255
132,2018,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,97354895-8c77-4fd4-a860-32e62ea7382a,14,5,93,0,0,0,1034,2,50,5784
133,2018,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,16,7,79,1,0,1,705,1,45,4969
134,2018,a2aab80d-174c-4639-beac-e2b70bb3625f,d5a2eb42-8065-4174-ab79-0a6fa820e35e,8,3,69,1,0,1,458,0,47,4340
135,2018,cd0f4ef0-9914-4125-be4d-804a72350ceb,d5a2eb42-8065-4174-ab79-0a6fa820e35e,2,0,9,0,0,0,116,0,5,576
136,2018,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,15,5,92,1,0,1,745,3,58,5765
137,2018,441eb531-1ec8-4f65-9174-78bc6adada63,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,11,6,81,0,0,0,640,0,50,5097
138,2018,bd49c4a4-1314-45e1-bff5-fc67ba41d1dd,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,4,0,0,0,87,0,0,231
139,2018,69bdf41e-3c32-46c1-93b8-e952edf5c61d,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,5,4,54,2,1,0,287,1,36,3283
140,2018,203b60aa-cb94-499c-a4ca-d3c6b94dddc4,82d2d380-3834-4938-835f-aec541e5ece7,16,9,92,1,0,0,682,0,58,5885
141,2018,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,d26a1ca5-722d-4274-8f97-c92e49c96315,9,3,70,1,0,0,689,0,45,4480
142,2018,6444feb1-f5a4-4b45-9a45-79308a4445fd,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,12,10,73,4,0,1,581,0,42,4473
143,2018,375b0d7f-8d03-4111-8c1b-62907f0326a1,1f6dcffb-9823-43cd-9ff4-e7a8466749b5,12,5,54,0,0,0,962,1,9,3331
144,2018,596c4000-ede5-45b0-8336-33efeb686d2b,1f6dcffb-9823-43cd-9ff4-e7a8466749b5,9,3,34,0,0,0,360,0,18,2195
145,2018,4ceb866c-8eaf-49b5-9043-56228e43a2e5,6680d28d-d4d2-49f6-aace-5292d3ec02c2,14,9,110,1,0,3,794,0,72,7000
146,2018,7bb70550-c28a-4e47-9a13-cc0c0fef8b38,1c1cec48-6352-4556-b789-35304c1a6ae1,6,2,44,1,0,1,580,0,20,2707
147,2018,bd49c4a4-1314-45e1-bff5-fc67ba41d1dd,1c1cec48-6352-4556-b789-35304c1a6ae1,3,4,13,1,0,0,162,0,3,761
148,2018,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,1c1cec48-6352-4556-b789-35304c1a6ae1,5,1,14,1,0,0,180,0,6,858
149,2018,99c9de87-7fe1-4d5e-928e-586f48af2d79,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,13,3,77,0,0,0,662,0,52,4984
150,2018,059e5bb7-1842-4558-9aaf-77c352a21216,386bdbf9-9eea-4869-bb9a-274b0bc66e80,7,6,82,1,0,0,540,0,57,5210
