,Player ID,Season,Rec Air Yards,Team ID,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
80,0a95e792-6455-4927-9539-f95fa7f41fbb,2012,379,f0e724b0-4cbf-495a-be47-013907608da9,13.366,0,0,3,53,23,41,0,61,5,548,169,0
81,16cc9ade-f9ad-4d32-b5b9-d7568ee80f58,2012,30,f0e724b0-4cbf-495a-be47-013907608da9,12.75,0,0,1,35,0,4,0,7,0,51,21,0
82,3aef6950-1c19-4454-a3d0-0afe9634ea9f,2012,-4,f0e724b0-4cbf-495a-be47-013907608da9,0.5,0,0,0,1,0,2,0,2,0,1,5,0
83,6a2b129d-a9e5-4131-b491-82269b323f77,2012,13,f0e724b0-4cbf-495a-be47-013907608da9,8.357,0,0,4,26,6,28,0,36,1,234,221,0
84,ccce5e8e-52ca-4f0f-a40f-fe5e7227d156,2012,289,f0e724b0-4cbf-495a-be47-013907608da9,16.381,0,0,9,45,34,21,0,39,3,344,55,0
85,fe767946-236d-4c04-9c59-5e3edd51acfe,2012,561,f0e724b0-4cbf-495a-be47-013907608da9,13.0,0,0,7,49,49,85,2,126,9,1105,544,0
86,471dbe81-54c4-4b52-8bd1-4933c9800e1f,2012,406,de760528-1dc0-416a-a978-b510d20692ff,12.489,0,0,5,53,37,45,0,86,2,562,156,0
87,9691f874-be36-4529-a7eb-dde22ee4a848,2012,538,de760528-1dc0-416a-a978-b510d20692ff,11.859,0,0,10,46,46,64,1,114,5,759,221,0
88,b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5,2012,526,de760528-1dc0-416a-a978-b510d20692ff,11.239,0,0,5,37,37,71,2,156,4,798,272,0
89,e033ce15-9fc5-430b-90e2-90dfe52b21c1,2012,-2,de760528-1dc0-416a-a978-b510d20692ff,7.8,0,0,0,19,0,5,0,8,0,39,41,0
