Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Receptions,Rec Red Zone Targets,Rec Touchdowns,Rec Yards,Fumbles,Lost Fumbles,Rush Attempts,Rush Avg Yards,Rush Red Zone Attempts,Rush Scrambles,Rush Touchdowns,Rush Yards,Passing Completion Pct,Passing Hurries,Passing Interceptions,Passing Redzone Attempts,Passing Touchdowns,Passing Yards,Field Goal Attempts,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Made
9d404288-65c5-414f-8ea5-ceb97eccaea0 2017 97354895-8c77-4fd4-a860-32e62ea7382a,Matthew Slater,Patriots,2017,WR,9,0,32,,,,,,,,,,,,,,,,,,,,,,,,
9d404288-65c5-414f-8ea5-ceb97eccaea0 2018 97354895-8c77-4fd4-a860-32e62ea7382a,Matthew Slater,Patriots,2018,WR,16,0,33,,,,,,,,,,,,,,,,,,,,,,,,
1726a359-9444-4761-a1f2-cb35ee6fa60e 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Mohamed Sanu,Bengals,2012,WR,9,3,23,16.0,0.0,4.0,154.0,,,5.0,3.0,0.0,0.0,0.0,15.0,100.0,0.0,0.0,0.0,1.0,73.0,,,,,,
1726a359-9444-4761-a1f2-cb35ee6fa60e 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Mohamed Sanu,Bengals,2013,WR,16,14,24,47.0,11.0,2.0,455.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,16.0,100.0,0.0,0.0,0.0,0.0,25.0,,,,,,
1726a359-9444-4761-a1f2-cb35ee6fa60e 2014 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Mohamed Sanu,Bengals,2014,WR,16,13,25,56.0,15.0,5.0,790.0,0.0,0.0,7.0,7.286,0.0,0.0,0.0,51.0,100.0,0.0,0.0,1.0,1.0,79.0,,,,,,
1726a359-9444-4761-a1f2-cb35ee6fa60e 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Mohamed Sanu,Bengals,2015,WR,16,4,26,33.0,7.0,0.0,394.0,2.0,0.0,10.0,7.1,3.0,0.0,2.0,71.0,,,,,,,,,,,,
1726a359-9444-4761-a1f2-cb35ee6fa60e 2016 e6aa13a4-0055-48a9-bc41-be28dc106929,Mohamed Sanu,Falcons,2016,WR,15,15,27,59.0,5.0,4.0,653.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,
1726a359-9444-4761-a1f2-cb35ee6fa60e 2017 e6aa13a4-0055-48a9-bc41-be28dc106929,Mohamed Sanu,Falcons,2017,WR,15,15,28,67.0,7.0,5.0,703.0,,,4.0,2.5,1.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0,1.0,51.0,,,,,,
1726a359-9444-4761-a1f2-cb35ee6fa60e 2018 e6aa13a4-0055-48a9-bc41-be28dc106929,Mohamed Sanu,Falcons,2018,WR,16,16,29,66.0,2.0,4.0,838.0,2.0,1.0,7.0,6.2860000000000005,0.0,0.0,0.0,44.0,50.0,0.0,0.0,1.0,1.0,5.0,,,,,,
1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Marvin Jones Jr.,Bengals,2012,WR,11,5,22,18.0,2.0,1.0,201.0,,,3.0,15.667,0.0,0.0,0.0,47.0,,,,,,,,,,,,
1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Marvin Jones Jr.,Bengals,2013,WR,16,3,23,51.0,14.0,10.0,712.0,,,8.0,8.125,0.0,0.0,0.0,65.0,,,,,,,,,,,,
1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2014 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Marvin Jones Jr.,Bengals,2014,WR,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,
1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Marvin Jones Jr.,Bengals,2015,WR,16,13,25,65.0,12.0,4.0,816.0,,,5.0,6.6,1.0,0.0,0.0,33.0,,,,,,,,,,,,
1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2016 c5a59daa-53a7-4de0-851f-fb12be893e9e,Marvin Jones Jr.,Lions,2016,WR,15,15,26,55.0,6.0,4.0,930.0,,,1.0,3.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,
1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2017 c5a59daa-53a7-4de0-851f-fb12be893e9e,Marvin Jones Jr.,Lions,2017,WR,16,16,27,61.0,6.0,9.0,1101.0,,,,,,,,,,,,,,,,,,,,
1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2018 c5a59daa-53a7-4de0-851f-fb12be893e9e,Marvin Jones Jr.,Lions,2018,WR,9,9,28,35.0,4.0,5.0,508.0,,,,,,,,,,,,,,,,,,,,
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Brandon Tate,Bengals,2012,WR,16,3,25,13.0,0.0,1.0,211.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Brandon Tate,Bengals,2013,WR,16,0,26,1.0,0.0,0.0,6.0,2.0,0.0,,,,,,,,,,,,,,,,,,
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2014 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Brandon Tate,Bengals,2014,WR,16,4,27,17.0,2.0,1.0,193.0,2.0,1.0,3.0,7.0,0.0,0.0,0.0,21.0,,,,,,,,,,,,
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Brandon Tate,Bengals,2015,WR,16,0,28,2.0,0.0,1.0,59.0,1.0,0.0,,,,,,,,,,,,,,,,,,
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2016 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Brandon Tate,Bills,2016,WR,15,1,29,8.0,0.0,0.0,117.0,,,3.0,16.0,0.0,0.0,0.0,48.0,,,,,,,,,,,,
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2017 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Brandon Tate,Bills,2017,WR,13,1,30,6.0,1.0,1.0,81.0,1.0,0.0,,,,,,,,,,,,,,,,,,
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2018 0d855753-ea21-4953-89f9-0e20aff9eb73,Brandon Tate,Saints,2018,WR,1,0,31,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
c9701373-23f6-4058-9189-8d9c085f3c49 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,A.J. Green,Bengals,2012,WR,16,16,24,97.0,1.0,11.0,1350.0,2.0,1.0,4.0,9.5,0.0,0.0,0.0,38.0,,,,,,,,,,,,
c9701373-23f6-4058-9189-8d9c085f3c49 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,A.J. Green,Bengals,2013,WR,16,16,25,98.0,21.0,11.0,1426.0,1.0,0.0,,,,,,,,,,,,,,,,,,
c9701373-23f6-4058-9189-8d9c085f3c49 2014 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,A.J. Green,Bengals,2014,WR,13,13,26,69.0,11.0,6.0,1041.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,
c9701373-23f6-4058-9189-8d9c085f3c49 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,A.J. Green,Bengals,2015,WR,16,16,27,86.0,18.0,10.0,1297.0,1.0,1.0,,,,,,,,,,,,,,,,,,
c9701373-23f6-4058-9189-8d9c085f3c49 2016 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,A.J. Green,Bengals,2016,WR,10,10,28,66.0,3.0,4.0,964.0,,,,,,,,,,,,,,,,,,,,
c9701373-23f6-4058-9189-8d9c085f3c49 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,A.J. Green,Bengals,2017,WR,16,16,29,75.0,9.0,8.0,1078.0,2.0,2.0,,,,,,,,,,,,,,,,,,
c9701373-23f6-4058-9189-8d9c085f3c49 2018 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,A.J. Green,Bengals,2018,WR,9,9,30,46.0,8.0,6.0,694.0,2.0,1.0,,,,,,,,,,,,,,,,,,
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Travis Benjamin,Browns,2012,WR,14,3,23,18.0,0.0,2.0,298.0,1.0,1.0,6.0,11.0,0.0,0.0,0.0,66.0,,,,,,,,,,,,
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2013 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Travis Benjamin,Browns,2013,WR,8,3,24,5.0,0.0,0.0,105.0,2.0,1.0,1.0,45.0,0.0,0.0,0.0,45.0,,,,,,,,,,,,
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2014 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Travis Benjamin,Browns,2014,WR,16,0,25,18.0,5.0,3.0,314.0,2.0,0.0,3.0,3.667,0.0,0.0,0.0,11.0,,,,,,,,,,,,
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Travis Benjamin,Browns,2015,WR,16,15,26,68.0,14.0,5.0,966.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2017 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,Travis Benjamin,Chargers,2017,WR,16,3,28,34.0,0.0,4.0,567.0,2.0,0.0,13.0,7.385,0.0,0.0,0.0,96.0,,,,,,,,,,,,
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2018 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,Travis Benjamin,Chargers,2018,WR,12,3,29,12.0,1.0,1.0,186.0,,,7.0,5.857,0.0,0.0,0.0,41.0,,,,,,,,,,,,
b228c353-bb1f-4ba8-aa6d-d18ecf297259 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Josh Gordon,Browns,2012,WR,16,13,21,50.0,3.0,5.0,805.0,1.0,1.0,,,,,,,,,,,,,,,,,,
b228c353-bb1f-4ba8-aa6d-d18ecf297259 2013 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Josh Gordon,Browns,2013,WR,14,14,22,87.0,18.0,9.0,1646.0,,,5.0,17.6,0.0,0.0,0.0,88.0,,,,,,,,,,,,
