Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Receptions,Rec Red Zone Targets,Rec Touchdowns,Rec Yards,Fumbles,Lost Fumbles,Rush Attempts,Rush Avg Yards,Rush Red Zone Attempts,Rush Scrambles,Rush Touchdowns,Rush Yards,Passing Completion Pct,Passing Hurries,Passing Interceptions,Passing Redzone Attempts,Passing Touchdowns,Passing Yards,Field Goal Attempts,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Made
218d1644-603e-4da3-9ce1-48ce3927494f 2016 e6aa13a4-0055-48a9-bc41-be28dc106929,Matt Bryant,Falcons,2016,K,16,0,41,,,,,,,,,,,,,,,,,,,37.0,59.0,34.0,1239.0,57.0,56.0
218d1644-603e-4da3-9ce1-48ce3927494f 2017 e6aa13a4-0055-48a9-bc41-be28dc106929,Matt Bryant,Falcons,2017,K,16,0,42,,,,,,,,,,,,,,,,,,,39.0,57.0,34.0,1367.0,35.0,35.0
218d1644-603e-4da3-9ce1-48ce3927494f 2018 e6aa13a4-0055-48a9-bc41-be28dc106929,Matt Bryant,Falcons,2018,K,13,0,43,,,,,,,,,,,,,,,,,,,21.0,57.0,20.0,797.0,35.0,33.0
63f8a401-f308-4463-9d0b-4335b98da682 2012 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Graham Gano,Panthers,2012,K,6,0,25,,,,,,,,,,,,,,,,,,,11.0,51.0,9.0,296.0,21.0,20.0
63f8a401-f308-4463-9d0b-4335b98da682 2013 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Graham Gano,Panthers,2013,K,16,0,26,,,,,,,,,,,,,,,,,,,27.0,55.0,24.0,884.0,42.0,42.0
63f8a401-f308-4463-9d0b-4335b98da682 2014 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Graham Gano,Panthers,2014,K,16,0,27,,,,,0.0,0.0,,,,,,,,,,,,,35.0,53.0,29.0,1047.0,34.0,34.0
63f8a401-f308-4463-9d0b-4335b98da682 2015 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Graham Gano,Panthers,2015,K,16,0,28,,,,,,,,,,,,,,,,,,,36.0,52.0,30.0,1110.0,58.0,56.0
63f8a401-f308-4463-9d0b-4335b98da682 2016 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Graham Gano,Panthers,2016,K,16,0,29,,,,,,,,,,,,,,,,,,,38.0,54.0,30.0,1171.0,34.0,31.0
63f8a401-f308-4463-9d0b-4335b98da682 2017 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Graham Gano,Panthers,2017,K,16,0,30,,,,,,,,,,,,,,,,,,,30.0,48.0,29.0,1004.0,37.0,34.0
63f8a401-f308-4463-9d0b-4335b98da682 2018 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Graham Gano,Panthers,2018,K,12,0,31,,,,,,,,,,,,,,,,,,,16.0,63.0,14.0,565.0,33.0,30.0
40cda44b-2ee3-4ad1-834e-995e30db84d4 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Stephen Hauschka,Seahawks,2012,K,16,0,27,,,,,,,,,,,,,,,,,,,27.0,52.0,24.0,795.0,46.0,46.0
40cda44b-2ee3-4ad1-834e-995e30db84d4 2013 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Stephen Hauschka,Seahawks,2013,K,16,0,28,,,,,,,,,,,,,,,,,,,35.0,53.0,33.0,1207.0,44.0,44.0
40cda44b-2ee3-4ad1-834e-995e30db84d4 2014 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Stephen Hauschka,Seahawks,2014,K,16,0,29,,,,,0.0,0.0,,,,,,,,,,,,,37.0,58.0,31.0,1087.0,41.0,41.0
40cda44b-2ee3-4ad1-834e-995e30db84d4 2015 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Stephen Hauschka,Seahawks,2015,K,16,0,30,,,,,,,,,,,,,,,,,,,31.0,54.0,29.0,1083.0,42.0,40.0
