Player Name,Avg Passing Average Yards,Avg Passing Blitz,Avg Passing Completion Percent,Avg Passing Completions,Avg Passing Defended Passes,Avg Passing Dropped Passes,Avg Passing Gross Yards,Avg Passing Hurries,Avg Passing Interceptions,Avg Passing Knockdowns,Avg Passing Longest,Avg Passing Longest TD,Avg Passing Net Yds,Avg Passing Pocket Time,Avg Passing Rating,Avg Passing Redzone Attempts,Avg Passing Sack Yds,Avg Passing Sacks,Avg Passing Spikes,Avg Passing Throw Away,Avg Passing Touchdowns,Avg Passing Yards
Blake Bortles,6.6942,176.2,59.387,312.2,59.0,32.4,3529.2,71.2,15.0,35.4,71.8,71.8,3297.6,1083.1637999999998,80.2,42.4,231.6,39.0,0.8,17.0,20.6,3529.2
Brad Kaaya,,,,,,,,,,,,,,,,,,,,,,
Brandon Allen,,,,,,,,,,,,,,,,,,,,,,
Brandon Weeden,7.0426,64.4,60.6294,111.8,3.2,13.8,1292.4,4.0,6.0,1.8,64.0,53.2,1202.0,69.0324,85.67999999999999,11.8,90.4,13.2,0.2,4.0,6.2,1292.4
Brett Hundley,3.755,52.0,40.37949999999999,97.0,17.5,8.0,926.5,26.5,6.5,14.5,32.0,27.5,828.0,449.18,35.3,5.0,98.5,14.5,0.0,12.0,4.5,926.5
Brian Hoyer,6.38575,52.125,59.206374999999994,101.375,10.125,10.25,1202.0,14.5,3.625,8.25,48.375,29.25,1132.875,238.08225000000002,79.18749999999999,15.625,69.125,9.875,0.25,5.125,5.875,1202.0
Brock Osweiler,5.774428571428571,47.857142857142854,56.98357142857144,99.57142857142857,22.142857142857142,10.285714285714286,1059.7142857142858,28.857142857142858,4.428571428571429,15.857142857142858,45.42857142857143,35.142857142857146,979.8571428571429,401.82928571428573,78.27142857142857,10.142857142857142,79.85714285714286,11.285714285714286,0.8571428571428571,6.714285714285714,5.285714285714286,1059.7142857142858
C.J. Beathard,6.895999999999999,62.5,57.632999999999996,112.5,29.5,12.0,1341.0,20.0,6.5,23.5,82.5,82.5,1192.5,507.9129999999999,75.5,10.5,148.5,18.5,0.5,6.0,6.0,1341.0
Cam Newton,7.236,175.71428571428572,59.682,287.2857142857143,38.57142857142857,26.0,3488.285714285714,42.285714285714285,12.857142857142858,20.285714285714285,74.28571428571429,61.714285714285715,3217.4285714285716,725.5557142857142,86.74285714285715,38.142857142857146,270.85714285714283,35.714285714285715,1.4285714285714286,14.571428571428571,23.0,3488.285714285714
Carson Wentz,7.129333333333334,148.33333333333334,64.08033333333333,307.6666666666667,58.0,24.0,3384.0,60.333333333333336,9.333333333333334,46.0,67.66666666666667,67.0,3191.6666666666665,1231.3976666666667,94.46666666666665,34.0,192.33333333333334,30.666666666666668,1.3333333333333333,12.0,23.333333333333332,3384.0
Case Keenum,6.690600000000001,113.2,60.66339999999999,213.6,31.2,17.8,2366.6,44.0,8.2,23.6,59.0,53.2,2221.2,694.3936,81.26,21.8,145.4,20.2,0.4,14.4,12.0,2366.6
Chad Henne,5.836799999999999,65.2,47.009,103.0,0.4,11.8,1169.2,0.0,5.2,0.2,45.6,41.2,1065.8,2.3147999999999995,73.38,15.4,103.4,16.4,0.0,3.6,5.4,1169.2
Chad Kelly,,,,,,,,,,,,,,,,,,,,,,
Charles Kanoff,,,,,,,,,,,,,,,,,,,,,,
